Treatment,ID,Tray,Placement,Flowering_date,avg_germ,FT,Sow_date,FD,days_to_germ
Dry,3144,1,1,24-Jan,05-Nov,80,29-Oct,87,7.666666667
Dry,2370,1,2,17-Jan,05-Nov,73,29-Oct,80,7.333333333
Dry,3066,1,3,10-Jan,05-Nov,66,29-Oct,73,7.666666667
Dry,3141,1,4,13-Jan,08-Nov,66,29-Oct,76,10.33333333
Dry,2928,1,5,30-Dec,05-Nov,55,29-Oct,62,7.666666667
Dry,2157,1,6,16-Jan,03-Nov,74,29-Oct,79,5
Dry,2520,1,7,22-Jan,07-Nov,76,29-Oct,85,9
Dry,3243,1,8,16-Jan,04-Nov,73,29-Oct,79,6.666666667
Dry,3003,1,9,12-Jan,09-Nov,64,29-Oct,75,11.33333333
Dry,2994,1,10,15-Jan,09-Nov,67,29-Oct,78,11
Dry,3426,1,11,15-Jan,04-Nov,72,29-Oct,78,6
Dry,2859,1,12,NA,#DIV/0!,#DIV/0!,29-Oct,#VALUE!,#DIV/0!
Dry,2919,1,13,15-Jan,06-Nov,70,29-Oct,78,8
Dry,2601,1,14,05-Jan,03-Nov,63,29-Oct,68,5
Dry,2208,1,15,NA,04-Nov,#VALUE!,29-Oct,#VALUE!,6
Dry,3114,1,16,18-Jan,06-Nov,73,29-Oct,81,8
Dry,2061,1,17,NA,12-Nov,#VALUE!,29-Oct,#VALUE!,14.33333333
Dry,2727,1,18,07-Jan,10-Nov,58,29-Oct,70,12.33333333
Dry,2289,2,1,11-Jan,03-Nov,69,29-Oct,74,5
Dry,2808,2,2,05-Jan,07-Nov,59,29-Oct,68,9
Dry,3030,2,3,NA,05-Nov,#VALUE!,29-Oct,#VALUE!,7
Dry,2688,2,4,11-Jan,04-Nov,68,29-Oct,74,6.666666667
Dry,2115,2,5,NA,#DIV/0!,#DIV/0!,29-Oct,#VALUE!,#DIV/0!
Dry,2328,2,6,19-Jan,05-Nov,75,29-Oct,82,7.333333333
Dry,2343,2,7,05-Feb,04-Nov,93,29-Oct,99,6.333333333
Dry,3345,2,8,24-Jan,07-Nov,78,29-Oct,87,9
Dry,3438,2,9,05-Jan,03-Nov,63,29-Oct,68,5.666666667
Dry,2526,2,10,26-Jan,04-Nov,83,29-Oct,89,6.666666667
Dry,3069,2,11,04-Jan,05-Nov,60,29-Oct,67,7.666666667
Dry,2613,2,12,03-Feb,05-Nov,90,29-Oct,97,7
Dry,2346,2,13,26-Jan,04-Nov,83,29-Oct,89,6
Dry,3072,2,14,19-Jan,10-Nov,70,29-Oct,82,12.33333333
Dry,2514,2,15,19-Jan,05-Nov,75,29-Oct,82,7.333333333
Dry,3150,2,16,18-Jan,15-Nov,64,29-Oct,81,17
Dry,2166,2,17,25-Jan,01-Nov,85,29-Oct,88,3.666666667
Dry,2592,2,18,21-Jan,03-Nov,79,29-Oct,84,5.666666667
Dry,3222,3,1,NA,#DIV/0!,#DIV/0!,29-Oct,#VALUE!,#DIV/0!
Dry,3234,3,2,19-Jan,09-Nov,71,29-Oct,82,11.33333333
Dry,2049,3,3,13-Jan,08-Nov,66,29-Oct,76,10.33333333
Dry,3036,3,4,07-Jan,08-Nov,60,29-Oct,70,10.66666667
Dry,2781,3,5,31-Dec,03-Nov,58,29-Oct,63,5.333333333
Dry,3213,3,6,17-Jan,09-Nov,69,29-Oct,80,11.33333333
Dry,2070,3,7,16-Jan,07-Nov,70,29-Oct,79,9.666666667
Dry,2295,3,8,19-Jan,03-Nov,77,29-Oct,82,5.333333333
Dry,2706,3,9,18-Jan,07-Nov,72,29-Oct,81,9
Dry,3261,3,10,02-Jan,04-Nov,59,29-Oct,65,6
Dry,3405,3,11,11-Jan,02-Nov,70,29-Oct,74,4.333333333
Dry,3201,3,12,19-Jan,06-Nov,74,29-Oct,82,8
Dry,3063,3,13,10-Jan,04-Nov,67,29-Oct,73,6.666666667
Dry,2508,3,14,12-Jan,05-Nov,68,29-Oct,75,7
Dry,3090,3,15,NA,#DIV/0!,#DIV/0!,29-Oct,#VALUE!,#DIV/0!
Dry,3291,3,16,06-Jan,05-Nov,62,29-Oct,69,7.666666667
Dry,3240,3,17,17-Jan,06-Nov,72,29-Oct,80,8.666666667
Dry,2376,3,18,26-Jan,09-Nov,78,29-Oct,89,11.33333333
Dry,2337,4,1,21-Jan,05-Nov,77,29-Oct,84,7
Dry,2958,4,2,10-Jan,07-Nov,64,29-Oct,73,9.666666667
Dry,3231,4,3,06-Jan,04-Nov,63,29-Oct,69,6.666666667
Dry,2883,4,4,18-Jan,02-Nov,77,29-Oct,81,4.666666667
Dry,3075,4,5,29-Dec,05-Nov,54,29-Oct,61,7.333333333
Dry,3294,4,6,03-Jan,04-Nov,60,29-Oct,66,6
Dry,3123,4,7,12-Jan,04-Nov,69,29-Oct,75,6.666666667
Dry,3390,4,8,11-Jan,09-Nov,63,29-Oct,74,11.66666667
Dry,2886,4,9,18-Jan,02-Nov,77,29-Oct,81,4.666666667
Dry,2247,4,10,NA,03-Nov,#VALUE!,29-Oct,#VALUE!,5
Dry,3060,4,11,NA,#DIV/0!,#DIV/0!,29-Oct,#VALUE!,#DIV/0!
Dry,2205,4,12,NA,03-Nov,#VALUE!,29-Oct,#VALUE!,5.333333333
Dry,2403,4,13,02-Jan,03-Nov,60,29-Oct,65,5.666666667
Dry,2322,4,14,12-Jan,05-Nov,68,29-Oct,75,7
Dry,2373,4,15,10-Jan,04-Nov,67,29-Oct,73,6
Dry,2082,4,16,21-Jan,03-Nov,79,29-Oct,84,5
Dry,2451,4,17,NA,03-Nov,#VALUE!,29-Oct,#VALUE!,5
Dry,2967,4,18,01-Jan,06-Nov,56,29-Oct,64,8
Dry,2577,5,1,12-Jan,03-Nov,70,29-Oct,75,5.333333333
Dry,2970,5,2,09-Jan,06-Nov,64,29-Oct,72,8
Dry,3333,5,3,21-Jan,09-Nov,73,29-Oct,84,11
