Treatment,ID,Diameter,Height,Nodes,Flowers,Branches,Sec_flower,,,,,,,,,
Wet,2669,5.19,68.7,18,14,6,0,,,,,,,,,
Dry,2672,3.63,32.2,15,9,10,4,,,,,,,,,
Wet,2672,4.62,57,18,10,12,0,,,,,,,,,
Dry,2675,4.11,28.6,18,7,6,0,,,,,,,,,
Wet,2675,3.88,80.3,18,10,0,0,,,,,,,,,
Dry,2678,3.19,48.3,16,10,0,0,,,,,,,,,
Wet,2678,5.04,83.5,18,9,1,0,,,,,,,,,
Dry,2681,,,,,,,,,,,,,,,
Wet,2681,2.83,33,,,,,,,,,,,,,
Dry,2684,,,,,,,,,,,,,,,
Wet,2684,,,,,,,,,,,,,,,
Dry,2687,,,,,,,,,,,,,,,
Wet,2687,,,,,,,,,,,,,,,
Dry,2690,2.45,21,13,5,4,0,,,,,,,,,
Wet,2690,4.45,61,16,12,8,0,,,,,,,,,
Dry,2693,,,,,,,,,,,,,,,
Wet,2693,,,,,,,,,,,,,,,
Dry,2696,3.15,36.2,14,6,7,1,,,,,,,,,
Wet,2696,3.13,64.7,14,8,3,0,,,,,,,,,
Dry,2699,2.31,18.2,11,4,0,0,,,,,,,,,
Wet,2699,2.95,37.5,15,8,0,0,,,,,,,,,
Dry,2702,3.21,29.4,13,6,0,0,,,,,,,,,
Wet,2702,2.39,34.5,13,7,0,0,,,,,,,,,
Dry,2705,2.69,24.7,11,4,0,0,,,,,,,,,
Wet,2705,2.87,53.2,16,7,0,0,,,,,,,,,
Dry,2708,3.01,37,14,7,9,6,,,,,,,,,
Wet,2708,5.33,70,16,12,8,0,,,,,,,,,
Dry,2711,,,,,,,,,,,,,,,
Wet,2711,,,,,,,,,,,,,,,
Dry,2714,4.18,44.6,15,12,2,0,,,,,,,,,
Wet,2714,5.11,83.1,20,18,8,0,,,,,,,,,
Dry,2717,2.68,20.3,13,3,0,0,,,,,,,,,
Wet,2717,3.74,29,12,4,0,0,,,,,,,,,
Dry,2720,1.86,12.6,12,2,2,0,,,,,,,,,
Wet,2720,3.26,42.6,16,8,0,0,,,,,,,,,
Dry,2723,2.95,19,13,6,7,0,,,,,,,,,
Wet,2723,2.58,38.1,14,8,4,0,,,,,,,,,
Dry,2726,3.13,37,15,8,7,0,,,,,,,,,
Wet,2726,3.06,45,15,8,4,0,,,,,,,,,
Dry,2729,2.1,17,13,2,2,0,,,,,,,,,
Wet,2729,2.76,37.4,16,6,3,0,,,,,,,,,
Dry,2732,3.73,45.5,16,12,13,0,,,,,,,,,
Wet,2732,3.13,35.5,16,4,1,0,,Wrongfully entered: ,2.98,55.4,,,,,
Dry,2735,2.56,35.6,16,8,2,0,,,,,,,,,
Wet,2735,2.21,37.3,17,7,0,0,,,,,,,,,
Dry,2738,3.61,34,15,13,11,1,,,,,,,,,
Wet,2738,3.02,36,16,6,3,0,,,,,,,,,
Dry,2741,2.91,33.8,12,12,10,7,,,,,,,,,
Wet,2741,3.1,26.2,14,12,9,12,,,,,,,,,
Dry,2744,3.14,35.6,14,9,6,0,,,,,,,,,
Wet,2744,3.05,35.4,13,5,4,0,,,,,,,,,
Dry,2747,2.88,22.6,13,7,13,0,,,,,,,,,
Wet,2747,3.18,42.1,14,8,5,0,,,,,,,,,
Dry,2750,2.16,28.8,11,5,3,0,,,,,,,,,
Wet,2750,1.65,25,11,2,1,0,,,,,,,,,
Dry,2753,1.86,16.5,12,3,4,0,,,,,,,,,
Wet,2753,3,40,15,5,4,0,,,,,,,,,
Dry,2756,2.37,34.5,13,3,0,0,,,,,,,,,
Wet,2756,2.57,27,11,2,0,0,,,,,,,,,
Dry,2759,2.21,16.1,11,2,2,0,,,,,,,,,
Wet,2759,2.73,36.6,13,2,0,0,,,,,,,,,
Dry,2762,3.58,42.3,15,7,8,0,,,,,,,,,
Wet,2762,3.55,45.8,14,6,2,0,,,,,,,,,
Dry,2765,3.31,42.6,18,8,1,0,,,,,,,,,
Wet,2765,4.32,45,18,10,1,0,,,,,,,,,
Dry,2768,3.92,51,17,10,8,0,,,,,,,,,
Wet,2768,3.56,52.5,17,7,0,0,,,,,,,,,
Dry,2771,4.05,53.8,19,9,6,0,,,,,,,,,
Wet,2771,4.16,76,20,14,2,0,,,,,,,,,
Dry,2774,3.65,64.5,19,13,10,0,,,,,,,,,
Wet,2774,2.55,49.2,14,5,0,0,,,,,,,,,
Dry,2777,2.86,35.6,14,7,7,2,,,,,,,,,
Wet,2777,3.67,53.2,17,9,8,1,,,,,,,,,
Dry,2780,3.55,49.6,16,10,11,3,,,,,,,,,
Wet,2780,4.57,48.5,13,11,10,11,,,,,,,,,
Dry,2783,3.32,41.3,15,8,10,2,,,,,,,,,
Wet,2783,4.33,64,18,10,10,0,,,,,,,,,
Dry,2786,3.69,49.9,16,9,10,0,,,,,,,,,
Wet,2786,3.32,49.8,13,5,2,1,,,,,,,,,
Dry,2789,3.82,44.2,15,10,4,0,,,,,,,,,
Wet,2789,4.43,60.6,17,11,4,1,,,,,,,,,
Dry,2792,2.3,25.1,12,7,4,0,,,,,,,,,
Wet,2792,3.19,43.4,14,11,4,0,,,,,,,,,
Dry,2795,3.21,34.4,14,12,2,0,,,,,,,,,
Wet,2795,2.78,52.3,16,12,2,0,,,,,,,,,
Dry,2798,2.84,36.6,14,12,10,0,,,,,,,,,
Wet,2798,3.36,38,14,11,4,0,,,,,,,,,
Dry,2801,2.66,17.7,11,8,5,0,,,,,,,,,
Wet,2801,2.51,25.8,12,8,3,0,,,,,,,,,
Dry,2804,2.52,27.3,15,10,8,0,,,,,,,,,
Wet,2804,2.41,34.6,14,9,4,0,,,,,,,,,
Dry,2807,2.31,26.4,12,7,4,0,,,,,,,,,
Wet,2807,2.25,35.8,13,8,4,0,,,,,,,,,
Dry,2810,2.64,40.4,14,10,10,0,,,,,,,,,
Wet,2810,1.84,23.6,10,3,2,0,,,,,,,,,
Dry,2813,2.83,37.5,13,13,6,0,,,,,,,,,
Wet,2813,2.09,38.3,13,8,3,0,,,,,,,,,
Dry,2816,2.16,23,12,5,10,0,,,,,,,,,
Wet,2816,3.46,42.3,13,10,16,0,,,,,,,,,
Dry,2819,2.26,32,12,11,8,0,,,,,,,,,
Wet,2819,2.54,29.7,13,7,4,0,,,,,,,,,
Dry,2822,1.77,31,12,6,0,,,,,,,,,,
Wet,2822,2.12,42.4,13,8,6,0,,,,,,,,,
Dry,2825,1.96,24.6,12,9,4,0,,,,,,,,,
Wet,2825,2.87,38,14,10,11,0,,,,,,,,,
Dry,2828,,,,,,,,,,,,,,,
Wet,2828,,,,,,,,,,,,,,,
Dry,2831,2.91,41.5,14,7,4,0,,,,,,,,,
Wet,2831,3.04,61.3,17,11,2,0,,,,,,,,,
Dry,2834,3.08,44.2,14,12,2,0,,,,,,,,,
Wet,2834,4.02,59.6,16,13,13,0,,,,,,,,,
Dry,2837,3.13,44.2,13,10,1,0,real,2.71,39,13,8,0,0,,
Wet,2837,3.05,44.5,13,10,2,0,,,,,,,,,
Dry,2840,,,,,,,,,,,,,,,
Wet,2840,,,,,,,,,,,,,,,
Dry,2843,2.95,44,16,12,7,2,,,,,,,,,
Wet,2843,2.23,34,14,6,1,0,,,,,,,,,
Dry,2846,,,,,,,,,,,,,,,
Wet,2846,,,,,,,,,,,,,,,
Dry,2849,2.96,40.5,17,12,3,0,,,,,,,,,
Wet,2849,3.67,77.8,21,17,6,0,,,,,,,,,
Dry,2852,3.25,56.4,18,11,15,0,,,,,,,,,
Wet,2852,3.11,76,19,14,4,0,,,,,,,,,
Dry,2855,2.89,35.2,13,8,11,1,,,,,,,,,
Wet,2855,2.54,48.9,14,11,0,0,,,,,,,,,
Dry,2858,,,,,,,,,,,,,,,
Wet,2858,,,,,,,,,,,,,,,
Dry,2861,,,,,,,,,,,,,,,
Wet,2861,,,,,,,,,,,,,,,
Dry,2864,3.87,56.8,18,13,1,0,,,,,,,,,
Wet,2864,4.71,89.4,21,20,10,4,,,,,,,,,
Dry,2867,4.6,48.9,20,14,8,0,,,,,,,,,
Wet,2867,5.36,88.7,20,16,4,0,,,,,,,,,
Dry,2870,2.93,46.3,15,9,0,0,,,,,,,,,
Wet,2870,5.36,79,19,16,2,0,,,,,,,,,
Dry,2873,4.24,63.3,20,16,10,0,,,,,,,,,
Wet,2873,4.62,94.8,22,20,5,0,,,,,,,,,
Dry,2876,3.45,60.5,19,12,4,0,,,,,,,,,
Wet,2876,3.97,97.1,23,17,7,2,,,,,,,,,
Dry,2879,3.9,59.8,18,12,0,0,,,,,,,,,
Wet,2879,3.92,71,19,14,0,0,,,,,,,,,
Dry,2882,4.92,31.3,15,10,15,8,,,,,,,,,
Wet,2882,6.01,97.7,23,18,15,10,,,,,,,,,
Dry,2885,4.63,49.3,19,14,12,0,,,,,,,,,
Wet,2885,4.8,76.2,21,17,13,3,,,,,,,,,
Dry,2888,3.71,52.4,19,12,7,3,,,,,,,,,
Wet,2888,6.22,79,21,18,8,3,,,,,,,,,
Dry,2891,4.09,42.3,17,11,8,0,,,,,,,,,
Wet,2891,4.95,54.6,18,14,4,0,,,,,,,,,
Dry,2894,4.61,38.5,16,12,12,8,,,,,,,,,
Wet,2894,3.15,40.7,15,9,0,0,,,,,,,,,
Dry,2897,3.62,43.8,17,7,0,0,,,,,,,,,
Wet,2897,,,,,,,,,,,,,,,
Dry,2900,3.21,31.2,13,12,12,6,,,,,,,,,
Wet,2900,3.67,49.4,16,14,12,3,,,,,,,,,
Dry,2903,2.96,25.7,11,10,10,9,,,,,,,,,
Wet,2903,3.85,48,15,12,10,11,,,,,,,,,
Dry,2906,2.82,18.2,12,8,10,7,,,,,,,,,
Wet,2906,3.2,27.5,13,12,11,11,,,,,,,,,
Dry,2909,3.06,25.4,13,7,9,9,,,,,,,,,
Wet,2909,3.73,46.5,16,12,16,12,,,,,,,,,
Dry,2912,3.27,27.9,15,10,12,15,,,,,,,,,
Wet,2912,3.8,48.6,15,14,12,10,,,,,,,,,
Dry,2915,3.12,21.5,12,10,10,9,,,,,,,,,
Wet,2915,2.85,39.8,15,13,8,4,,,,,,,,,
Dry,2918,3.34,26.4,13,10,12,16,,,,,,,,,
Wet,2918,4.36,41.2,15,11,12,9,,,,,,,,,
Dry,2921,3.24,27.4,14,12,12,12,,,,,,,,,
Wet,2921,4.58,56.5,18,17,13,13,,,,,,,,,
Dry,2924,,,,,,,,,,,,,,,
Wet,2924,,,,,,,,,,,,,,,
Dry,2927,3.37,24.9,14,12,12,11,,,,,,,,,
Wet,2927,2.91,37.4,14,11,9,0,,,,,,,,,
Dry,2930,3.44,30.5,15,11,13,6,,,,,,,,,
Wet,2930,3.57,49.7,15,11,14,0,,,,,,,,,
Dry,2933,3.04,36.6,15,13,12,14,,,,,,,,,
Wet,2933,3.43,47.4,16,13,11,0,,,,,,,,,
Dry,2936,3.6,36.8,14,8,10,2,,,,,,,,,
Wet,2936,3.82,53.8,16,14,11,5,,,,,,,,,
Dry,2939,3.41,37.8,15,12,12,5,,,,,,,,,
Wet,2939,,,,,,,,,,,,,,,
Dry,2942,3.99,31,15,11,13,3,,,,,,,,,
Wet,2942,4.83,80.4,20,21,15,3,,,,,,,,,
Dry,2945,3.78,40.8,17,8,13,1,,,,,,,,,
Wet,2945,3.78,63.8,19,16,12,1,,,,,,,,,
Dry,2948,3.37,32.4,14,10,11,0,,,,,,,,,
Wet,2948,3.91,58.2,16,14,9,0,,,,,,,,,
Dry,2951,3.51,34.5,15,10,10,2,,,,,,,,,
Wet,2951,4.21,60.3,18,15,14,5,,,,,,,,,
Dry,2954,3.68,30.5,14,10,12,5,,,,,,,,,
Wet,2954,4.64,63.2,19,16,14,4,,,,,,,,,
Dry,2957,3.06,43,17,8,11,0,,,,,,,,,
Wet,2957,3.89,69,20,16,23,0,,,,,,,,,
Dry,2960,3.52,50.2,17,12,12,2,,,,,,,,,
Wet,2960,3.82,64,18,14,14,0,,,,,,,,,
Dry,2963,2.95,31.2,13,12,12,4,,,,,,,,,
Wet,2963,3.88,50,16,16,14,10,,,,,,,,,
Dry,2966,3.22,37.3,15,10,13,4,,,,,,,,,
Wet,2966,4.08,75.3,19,18,12,0,,,,,,,,,
Dry,2969,3,27,14,7,12,0,,,,,,,,,
Wet,2969,3.88,75.6,19,17,14,3,,,,,,,,,
Dry,2972,3.87,25.2,13,8,10,0,,,,,,,,,
Wet,2972,3.3,39.6,15,9,7,0,,,,,,,,,
Dry,2975,3.17,30.5,12,10,9,1,5,,,,,,,,
Wet,2975,3.25,54.5,16,13,12,0,,,,,,,,,
Dry,2978,2.75,23,11,6,8,0,,,,,,,,,
Wet,2978,2.88,42,15,7,6,0,,,,,,,,,
Dry,2981,2.53,20.07,13,6,2,0,,,,,,,,,
Wet,2981,2.68,33.1,14,9,2,0,,,,,,,,,
Dry,2984,1.85,10,11,2,1,0,,,,,,,,,
Wet,2984,3.11,45.8,15,11,7,1,,,,,,,,,
Dry,2987,3.26,37.1,14,10,12,1,,,,,,,,,
Wet,2987,2.68,29.4,13,5,5,0,,,,,,,,,
Dry,2990,3.28,25.7,14,8,14,1,,,,,,,,,
Wet,2990,3.81,37,16,9,6,0,,,,,,,,,
Dry,2993,3.1,29,14,8,12,0,,,,,,,,,
Wet,2993,4.32,56.3,16,12,18,2,,,,,,,,,
Dry,2996,2.26,13.5,10,3,4,0,,,,,,,,,
Wet,2996,3.73,38.1,15,11,12,3,,,,,,,,,
Dry,2999,3.38,23.6,14,9,11,3,,,,,,,,,
Wet,2999,3.67,44.4,16,10,13,0,,,,,,,,,
Dry,3002,4.91,36.7,15,13,15,12,,,,,,,,,
Wet,3002,4.51,36.2,14,8,6,0,,,,,,,,,
Dry,3005,2.93,29.3,12,10,7,0,,,,,,,,,
Wet,3005,4,50.3,16,11,14,0,,,,,,,,,
Dry,3008,2.62,16.2,10,8,6,0,,,,,,,,,
Wet,3008,2.42,12.6,11,2,2,0,,,,,,,,,
Dry,3011,2.59,15,11,6,7,0,,,,,,,,,
Wet,3011,1.96,21.2,10,3,0,0,,,,,,,,,
Dry,3014,3.17,28.2,13,10,10,0,,,,,,,,,
Wet,3014,2.09,28,13,6,2,0,,,,,,,,,
Dry,3017,2.46,14.1,10,4,4,0,,,,,,,,,
Wet,3017,2.83,25,13,5,2,0,,,,,,,,,
Dry,3020,2.07,21.9,12,6,2,0,,,,,,,,,
Wet,3020,1.71,17,11,2,0,,,,,,,,,,
Dry,3023,2.78,36.1,14,8,4,0,,,,,,,,,
Wet,3023,3.49,43.2,15,12,7,1,,,,,,,,,
Dry,3026,2.51,24,13,7,10,0,,,,,,,,,
Wet,3026,2.96,41,16,13,12,0,,,,,,,,,
Dry,3029,2.35,31.1,15,8,3,0,,,,,,,,,
Wet,3029,2.91,34,16,7,7,0,,,,,,,,,
Dry,3032,2.45,13.4,11,4,13,0,,,,,,,,,
Wet,3032,2.38,32.2,15,9,4,0,,wrongfully put in here: ,3.25,44.3,,,,,
Dry,3035,1.81,19.6,12,5,0,0,,,,,,,,,
Wet,3035,2.66,30.06,14,7,4,0,,,,,,,,,
Dry,3038,1.72,22,12,6,4,0,,,,,,,,,
Wet,3038,2,21.8,12,3,0,0,,,,,,,,,
Dry,3041,1.52,15,12,5,2,0,,,,,,,,,
Wet,3041,2.86,32.2,14,11,3,2,,,,,,,,,
Dry,3044,1.99,18,12,8,5,0,,,,,,,,,
Wet,3044,1.87,12,10,2,1,0,,,,,,,,,
Dry,3047,2.5,25,13,10,7,0,,,,,,,,,
Wet,3047,3.79,67.9,15,9,3,0,,,,,,,,,
Dry,3050,1.35,13.5,12,3,0,0,,,,,,,,,
Wet,3050,2.16,16.3,11,2,3,0,,,,,,,,,
Dry,3053,2.5,24.2,13,6,5,0,,,,,,,,,
Wet,3053,2.37,29.6,13,8,0,0,,,,,,,,,
Dry,3056,2.24,21,12,6,1,0,,,,,,,,,
Wet,3056,2.46,31.6,12,8,0,0,,,,,,,,,
Dry,3059,,,,,,,,,,,,,,,
Wet,3059,,,,,,,,,,,,,,,
Dry,3062,1.99,21.8,11,6,0,0,,,,,,,,,
Wet,3062,3.25,37,14,9,8,0,,,,,,,,,
Dry,3065,2.37,31.7,14,8,2,0,,,,,,,,,
Wet,3065,2.46,40.6,14,6,2,0,,,,,,,,,
Dry,3068,2.86,26.6,12,8,8,0,,,,,,,,,
Wet,3068,3.09,31.2,12,6,7,0,,,,,,,,,
Dry,3071,2.76,32,12,10,8,0,,,,,,,,,
Wet,3071,3.74,50.5,15,8,7,0,,,,,,,,,
Dry,3074,2.89,26.5,13,9,6,0,,,,,,,,,
Wet,3074,3.4,43.2,15,10,8,1,,,,,,,,,
Dry,3077,2.46,19,11,5,8,0,,,,,,,,,
Wet,3077,3.31,49.5,16,8,8,3,,,,,,,,,
Dry,3080,3.04,26.1,14,4,4,0,,,,,,,,,
Wet,3080,4.35,43.6,18,8,6,0,,,,,,,,,
Dry,3083,,,,,,,,,,,,,,,
Wet,3083,,,,,,,,,,,,,,,
Dry,3086,,,,,,,,,,,,,,,
Wet,3086,,,,,,,,,,,,,,,
Dry,3089,,,,,,,,,,,,,,,
Wet,3089,,,,,,,,,,,,,,,
Dry,3092,,,,,,,,,,,,,,,
Wet,3092,,,,,,,,,,,,,,,
Dry,3095,,,,,,,,,,,,,,,
Wet,3095,,,,,,,,,,,,,,,
Dry,3098,,,,,,,,,,,,,,,
Wet,3098,,,,,,,,,,,,,,,
Dry,3101,4.09,42,15,10,8,0,,,,,,,,,
Wet,3101,4.81,80,20,12,6,0,,,,,,,,,
Dry,3104,4.87,53,19,16,14,2,,,,,,,,,
Wet,3104,5.48,75.4,19,14,12,0,,,,,,,,,
Dry,3107,3.47,28.5,17,8,14,0,,,,,,,,,
Wet,3107,5.35,49.3,18,12,18,2,,,,,,,,,
Dry,3110,4.33,48.1,18,12,10,0,,,,,,,,,
Wet,3110,4.27,66.4,19,15,10,0,,,,,,,,,
Dry,3113,2.36,32,15,4,0,0,,,,,,,,,
Wet,3113,4.04,59.2,17,8,5,0,,,,,,,,,
Dry,3116,1.52,20,12,3,0,0,,,,,,,,,
Wet,3116,2.67,42.3,13,6,1,0,,,,,,,,,
Dry,3119,2.03,26,12,4,1,0,,,,,,,,,
Wet,3119,2.7,45.3,14,10,3,0,,,,,,,,,
Dry,3122,2.38,29.5,13,8,1,0,,,,,,,,,
Wet,3122,2.85,41.3,15,11,6,0,,,,,,,,,
Dry,3125,2.6,27,13,9,5,0,,,,,,,,,
Wet,3125,3.6,46,13,10,6,0,,,,,,,,,
Dry,3128,2.62,34.1,13,10,6,0,,,,,,,,,
Wet,3128,3.64,46.6,15,10,5,0,,,,,,,,,
Dry,3131,3.68,32.6,13,8,8,2,,,,,,,,,
Wet,3131,,,,,,,,,,,,,,,
Dry,3134,2.58,34,15,7,9,0,,,,,,,,,
Wet,3134,4.02,66.8,16,11,16,0,,,,,,,,,
Dry,3137,2.68,28.9,12,9,6,2,,,,,,,,,
Wet,3137,3.72,54,15,10,6,0,,,,,,,,,
Dry,3140,2.12,29.3,12,6,4,0,,,,,,,,,
Wet,3140,2.67,33.5,13,6,2,0,,,,,,,,,
Dry,3143,2.16,26.6,12,5,1,0,,,,,,,,,
Wet,3143,2.75,44.5,14,8,6,0,,,,,,,,,
Dry,3146,3.09,20.8,11,5,10,0,,,,,,,,,
Wet,3146,3.13,54,16,8,8,0,,,,,,,,,
Dry,3149,,,,,,,,,,,,,,,
Wet,3149,,,,,,,,,,,,,,,
Dry,3152,,,,,,,,,,,,,,,
Wet,3152,3.04,33.6,15,4,8,0,,,,,,,,,
Dry,3155,,,,,,,,,,,,,,,
Wet,3155,,,,,,,,,,,,,,,
Dry,3158,1.82,20.3,12,3,2,0,,,,,,,,,
Wet,3158,,,,,,,,,,,,,,,
Dry,3161,2.27,22,12,6,4,0,,,,,,,,,
Wet,3161,2.49,36.2,15,8,1,0,,,,,,,,,
Dry,3164,,,,,,,,,,,,,,,
Wet,3164,,,,,,,,,,,,,,,
Dry,3167,2.6,34.8,16,11,8,1,,,,,,,,,
Wet,3167,,,,,,,,,,,,,,,
Dry,3170,4.34,26.5,13,5,10,0,,,,,,,,,
Wet,3170,3.24,51.3,16,8,6,0,,,,,,,,,
Dry,3173,3.63,29.7,13,11,10,4,,,,,,,,,
Wet,3173,3.81,40.4,13,6,12,11,,,,,,,,,
Dry,3176,,,,,,,,,,,,,,,
Wet,3176,5.29,na,18,5,12,0,,,,,,,,,
Dry,3179,,,,,,,,,,,,,,,
Wet,3179,,,,,,,,,,,,,,,
Dry,3182,2.92,28.3,12,10,6,0,,,,,,,,,
Wet,3182,2.83,33.3,13,5,8,0,,,,,,,,,
Dry,3185,2.78,30,14,8,9,0,,,,,,,,,
Wet,3185,3.27,45.3,15,9,10,0,,,,,,,,,
Dry,3188,2.79,21.6,13,2,2,0,,,,,,,,,
Wet,3188,3.27,42,13,6,6,0,,,,,,,,,
Dry,3191,2.48,33.8,14,8,6,0,,,,,,,,,
Wet,3191,3.61,42.4,17,8,9,0,,,,,,,,,
Dry,3194,2.61,29.3,13,9,8,1,,,,,,,,,
Wet,3194,3.39,44,14,7,16,0,,,,,,,,,
Dry,3197,2.22,21.5,13,6,0,0,,,,,,,,,
Wet,3197,2.6,29,13,5,4,0,,,,,,,,,
Dry,3200,2.88,28.4,13,8,10,0,,,,,,,,,
Wet,3200,3.43,33.5,16,5,8,0,,,,,,,,,
Dry,3203,1.67,13.8,10,2,0,0,,,,,,,,,
Wet,3203,3.58,33.2,13,8,7,1,,,,,,,,,
Dry,3206,,,,,,,,,,,,,,,
Wet,3206,,,,,,,,,,,,,,,
Dry,3209,2.5,21.5,17,12,4,0,,,,,,,,,
Wet,3209,4.72,45.1,20,16,10,3,,,,,,,,,
Dry,3212,,,,,,,,,,,,,,,
Wet,3212,,,,,,,,,,,,,,,
Dry,3215,2.96,16.8,15,8,13,0,,,,,,,,,
Wet,3215,4.29,39.3,18,14,12,0,,,,,,,,,
Dry,3218,3.56,42,15,10,6,0,,,,,,,,,
Wet,3218,,,,,,,,,,,,,,,
Dry,3221,2.09,26.6,14,6,0,0,,,,,,,,,
Wet,3221,3.66,25.5,16,9,8,0,,,,,,,,,
Dry,3224,2.96,38.2,14,10,10,0,,,,,,,,,
Wet,3224,3.24,47,15,9,3,0,,,,,,,,,
Dry,3227,3.09,24.8,11,6,0,0,,,,,,,,,
Wet,3227,2.82,23,11,3,0,0,,,,,,,,,
Dry,3230,3.13,24.5,12,6,2,0,,,,,,,,,
Wet,3230,3.19,38.5,14,7,6,0,,,,,,,,,
Dry,3233,3.03,28.8,14,7,11,0,,,,,,,,,
Wet,3233,3.07,38.7,11,7,0,0,,,,,,,,,
Dry,3236,2.44,35.4,14,6,1,0,,,,,,,,,
Wet,3236,,,,,,,,,,,,,,,
Dry,3239,2.36,24.5,12,4,1,0,,,,,,,,,
Wet,3239,3.89,50.3,16,10,5,0,,,,,,,,,
Dry,3242,2.67,21,11,4,2,0,,,,,,,,,
Wet,3242,2.88,33.6,12,7,2,0,,,,,,,,,
Dry,3245,3.17,34.3,13,9,10,0,,,,,,,,,
Wet,3245,3.31,35.5,12,6,4,0,,,,,,,,,
Dry,3248,1.99,23.6,10,3,2,0,,,,,,,,,
Wet,3248,3.33,48,13,8,2,0,,,,,,,,,
Dry,3251,,,,,,,,,,,,,,,
Wet,3251,,,,,,,,,,,,,,,
Dry,3254,3.18,32.9,13,9,13,0,,,,,,,,,
Wet,3254,3.38,52.4,15,11,9,0,,,,,,,,,
Dry,3257,3.11,34.5,14,6,4,0,,,,,,,,,
Wet,3257,2.43,30.1,12,7,3,0,,,,,,,,,
Dry,3260,,,,,,,,,,,,,,,
Wet,3260,,,,,,,,,,,,,,,
Dry,3263,2.18,27,11,6,2,0,,,,,,,,,
Wet,3263,4.2,61.3,16,14,3,1,,,,,,,,,
Dry,3266,2.26,30,12,7,4,0,,,,,,,,,
Wet,3266,3.15,51.5,14,11,6,0,,,,,,,,,
Dry,3269,2.77,31.8,13,8,5,0,,,,,,,,,
Wet,3269,2.35,42.2,13,8,1,0,,,,,,,,,
Dry,3272,3.21,34.1,13,8,3,0,,,,,,,,,
Wet,3272,2.62,33.1,13,10,6,0,,,,,,,,,
Dry,3275,2.34,29.9,12,8,6,0,,,,,,,,,
Wet,3275,2.2,25,10,6,2,0,,,,,,,,,
Dry,3278,2.96,40.6,15,10,2,0,,,,,,,,,
Wet,3278,3.3,53.5,17,12,2,0,,,,,,,,,
Dry,3281,2.67,28.1,13,8,4,0,,,,,,,,,
Wet,3281,2.76,30.4,13,6,1,0,,,,,,,,,
Dry,3284,3.61,34.8,14,9,9,3,,,,,,,,,
Wet,3284,3.37,52.8,15,9,4,0,,,,,,,,,
Dry,3287,2.29,44.6,13,10,1,0,,,,,,,,,
Wet,3287,2.59,49.4,14,11,6,0,,,,,,,,,
Dry,3290,1.83,22.4,11,4,3,0,,,,,,,,,
Wet,3290,3,45.7,13,8,3,0,,,,,,,,,
Dry,3293,2.59,32.3,11,8,5,0,,,,,,,,,
Wet,3293,3.39,52.1,15,12,10,0,,,,,,,,,
Dry,3296,3.32,33.1,14,10,8,0,,,,,,,,,
Wet,3296,4.78,30.5,15,4,10,0,,,,,,,,,
Dry,3299,2.01,21.6,10,3,0,0,,,,,,,,,
Wet,3299,3.34,33.5,13,4,4,0,3.97,89.8,diameter and height written in wrong spot,,,,,,
Dry,3302,2.85,42,15,10,2,0,,,,,,,,,
Wet,3302,3.28,42.9,16,8,4,0,,,,,,,,,
Dry,3305,2.66,32.5,13,6,2,0,,,,,,,,,
Wet,3305,,,,,,,,,,,,,,,
Dry,3308,3.4,36,14,6,4,0,,,,,,,,,
Wet,3308,2.93,24.4,11,2,1,0,,,,,,,,,
Dry,3311,2.79,27.8,12,6,0,0,,,,,,,,,
Wet,3311,3.46,35,14,5,2,0,,,,,,,,,
Dry,3314,2.73,36.6,14,6,0,0,,,,,,,,,
Wet,3314,4.07,53.1,17,10,0,0,,,,,,,,,
Dry,3317,3.13,38.4,16,8,1,0,,,,,,,,,
Wet,3317,3.88,61.6,18,12,1,0,,,,,,,,,
Dry,3320,3.46,45.2,16,8,1,0,,,,,,,,,
Wet,3320,2.93,37.6,13,6,0,0,,,,,,,,,
Dry,3323,3.21,36.2,15,9,0,,,,,,,,,,
Wet,3323,2.44,25.7,11,3,2,0,,,,,,,,,
Dry,3326,3.19,38.5,16,7,0,0,,,,,,,,,
Wet,3326,3.85,40,14,6,1,0,,,,,,,,,
Dry,3329,1.79,16.7,9,4,0,0,,,,,,,,,
Wet,3329,3.63,40,15,5,0,0`,,,,,,,,,
Dry,3332,,,,,,,,,,,,,,,
Wet,3332,,,,,,,,,,,,,,,
Dry,3335,2.45,26.4,12,5,3,0,,,,,,,,,
Wet,3335,2.68,39.2,13,4,5,0,,,,,,,,,
Dry,3338,3.53,27.3,12,4,1,0,,,,,,,,,
Wet,3338,2.51,28.3,12,2,4,0,,,,,,,,,
Dry,3341,4,36.3,16,10,14,3,,,,,,,,,
Wet,3341,2.98,46.8,14,8,5,0,,,,,,,,,
Dry,3344,2.77,34,13,4,0,,,,,,,,,,
Wet,3344,2.8,43.5,14,6,1,0,,,,,,,,,
Dry,3347,,,,,,,,,,,,,,,
Wet,3347,,,,,,,,,,,,,,,
Dry,3350,2.99,40.5,15,7,6,0,,,,,,,,,
Wet,3350,2.52,35,14,4,4,0,,,,,,,,,
Dry,3353,3.21,35.1,15,8,4,0,,,,,,,,,
Wet,3353,3.36,57.2,17,7,6,0,,,,,,,,,
Dry,3356,2.23,28,12,6,0,0,,,,,,,,,
Wet,3356,3.12,42,14,5,4,0,,,,,,,,,
Dry,3359,2.04,19.6,10,6,0,0,,,,,,,,,
