Treatment,ID,Diameter,Height,Nodes,Flowers,Branches,Sec_flower,,,,,,,,,
Wet,2150,4.28,52.3,17,8,0,0,,,,,,,,,
Dry,2153,4.92,37.4,19,12,16,4,,,,,,,,,
Wet,2153,5.43,52,20,12,6,0,,,,,,,,,
Dry,2156,4.21,38,20,7,13,2,,,,,,,,,
Wet,2156,5.98,83.6,25,18,16,2,,,,,,,,,
Dry,2159,5.06,27.8,17,10,12,6,,,,,,,,,
Wet,2159,,5.92,57,13,13,1,,,,,,,,,
Dry,2162,2.57,18.2,12,5,0,0,,,,,,,,,
Wet,2162,4.42,22,15,4,1,0,,,,,,,,,
Dry,2165,4.51,28.4,17,10,13,8,,,,,,,,,
Wet,2165,6.03,54,23,15,16,0,,,,,,,,,
Dry,2168,4.16,29.7,18,10,12,0,,,,,,,,,
Wet,2168,4.43,34,20,7,11,1,,,,,,,,,
Dry,2171,4.95,39.8,20,13,12,3,,,,,,,,,
Wet,2171,6.71,79.3,25,14,18,2,,,,,,,,,
Dry,2174,4.88,25,16,9,14,9,,,,,,,,,
Wet,2174,4.9,32.4,17,9,4,0,,,,,,,,,
Dry,2177,4.97,27.6,18,11,13,0,,,,,,,,,
Wet,2177,5.52,72.1,20,12,6,0,,,,,,,,,
Dry,2180,4.1,28.1,17,10,16,8,,,,,,,,,
Wet,2180,7.21,54,19,13,14,21,,,,,,,,,
Dry,2183,4.27,26.5,15,10,11,7,,,,,,,,,
Wet,2183,5.32,51,18,11,17,5,,,,,,,,,
Dry,2186,3.81,28.2,15,7,7,0,,,,,,,,,
Wet,2186,3.65,38,13,7,0,0,,,,,,,,,
Dry,2189,4.83,25,16,9,16,20,,,,,,,,,
Wet,2189,5.93,44.7,16,8,10,9,,,,,,,,,
Dry,2192,3.11,22,15,6,10,9,,,,,,,,,
Wet,2192,6.68,55.8,22,17,16,1,,,,,,,,,
Dry,2195,,,,,,,,,,,,,,,
Wet,2195,,,,,,,,,,,,,,,
Dry,2198,4.4,38.7,17,11,12,4,,,,,,,,,
Wet,2198,6.34,77.8,20,10,11,2,,,,,,,,,
Dry,2201,4.27,27.5,14,10,3,0,,,,,,,,,
Wet,2201,6.46,67,19,12,12,0,,,,,,,,,
Dry,2204,5.54,29.1,16,10,12,10,,,,,,,,,
Wet,2204,,,,,,,,,,,,,,,
Dry,2207,4.24,34,16,10,12,3,,,,,,,,,
Wet,2207,6.18,83.6,20,11,12,0,,,,,,,,,
Dry,2210,5.15,28.1,15,9,11,9,,,,,,,,,
Wet,2210,6.99,65.4,16,8,9,0,,,,,,,,,
Dry,2213,,,,,,,,,,,,,,,
Wet,2213,,,,,,,,,,,,,,,
Dry,2216,5.28,24.2,17,8,12,3,,,,,,,,,
Wet,2216,4.87,56.5,19,14,4,0,,,,,,,,,
Dry,2219,3.68,36.3,17,8,4,2,,,,,,,,,
Wet,2219,5.73,80.4,21,15,16,3,,,,,,,,,
Dry,2222,4.11,32.2,16,8,11,4,,,,,,,,,
Wet,2222,6.37,75,20,12,6,4,,,,,,,,,
Dry,2225,5.04,49.4,21,15,15,7,,,,,,,,,
Wet,2225,6.8,70,22,15,15,0,,,,,,,,,
Dry,2228,5.89,35.2,18,11,14,2,,,,,,,,,
Wet,2228,7.36,60.5,18,12,13,0,,,,,,,,,
Dry,2231,4.76,34,18,12,12,1,,,,,,,,,
Wet,2231,5.06,58.6,19,12,14,0,,,,,,,,,
Dry,2234,4.84,42.2,22,12,14,6,,,,,,,,,
Wet,2234,5.57,70.3,22,12,6,0,,,,,,,,,
Dry,2237,5.12,58.8,20,8,16,5,,,,,,,,,
Wet,2237,5.59,75.8,24,15,11,0,,,,,,,,,
Dry,2240,,,,,,,,,,,,,,,
Wet,2240,,,,,,,,,,,,,,,
Dry,2243,5.3,54,21,12,15,13,,,,,,,,,
Wet,2243,5.2,77.5,21,14,4,7,,,,,,,,,
Dry,2246,4.68,51,19,8,2,2,,,,,,,,,
Wet,2246,6.89,94.5,26,18,22,6,,,,,,,,,
Dry,2249,4.48,41.5,19,13,16,3,,,,,,,,,
Wet,2249,5.38,71.2,21,14,2,0,,,,,,,,,
Dry,2252,5.02,30.5,17,8,19,17,,,,,,,,,
Wet,2252,6.3,68.5,20,24,12,3,,,,,,,,,
Dry,2255,4.49,31.4,16,8,16,9,,,,,,,,,
Wet,2255,6.25,57,17,7,15,13,,,,,,,,,
Dry,2258,3.94,35.2,18,6,20,11,,,,,,,,,
Wet,2258,5.43,89.9,22,15,14,5,,,,,,,,,
Dry,2261,4.36,37.2,18,5,15,14,,,,,,,,,
Wet,2261,5.05,65.8,17,10,4,0,,,,,,,,,
Dry,2264,,,,,,,,,,,,,,,
Wet,2264,,,,,,,,,,,,,,,
Dry,2267,3.82,33,16,9,11,2,,,,,,,,,
Wet,2267,7.11,73,19,12,15,7,,,,,,,,,
Dry,2270,4.11,49.1,18,12,9,11,,,,,,,,,
Wet,2270,4.81,56.8,17,10,1,1,,,,,,,,,
Dry,2273,,,,,,,,,,,,,,,
Wet,2273,,,,,,,,,,,,,,,
Dry,2276,4.12,38.5,17,6,11,14,,,,,,,,,
Wet,2276,4.45,57.4,17,9,0,0,,,,,,,,,
Dry,2279,4.66,49,19,12,8,6,,,,,,,,,
Wet,2279,,,,,,,,,,,,,,,
Dry,2282,5.45,49.3,17,9,16,11,,,,,,,,,
Wet,2282,4.79,84,19,12,4,0,,,,,,,,,
Dry,2285,3.76,54.8,19,15,10,7,,,,,,,,,
Wet,2285,4.87,66.5,19,12,2,0,,,,,,,,,
Dry,2288,3.9,30,17,10,14,1,,,,,,,,,
Wet,2288,4.83,59.2,21,13,12,2,,,,,,,,,
Dry,2291,4.21,44.2,20,14,15,6,,,,,,,,,
Wet,2291,5.46,68.1,22,16,8,0,,,,,,,,,
Dry,2294,4.97,34.4,16,12,11,0,,,,,,,,,
Wet,2294,7.32,97.8,24,16,20,8,originally placed in dry position,,,,,,,,
Dry,2297,5.04,36,18,14,14,12,,,,,,,,,
Wet,2297,5.18,60.8,19,13,11,0,,,,,,,,,
Dry,2300,4.69,53.3,,,,,,,,,,,,,
Wet,2300,5.72,78.2,22,14,18,0,,,,,,,,,
Dry,2303,4.96,52.7,22,12,14,9,,,,,,,,,
Wet,2303,6.31,75.4,22,15,16,2,,,,,,,,,
Dry,2306,4.63,52.4,21,15,10,4,,,,,,,,,
Wet,2306,7.75,97,23,17,18,10,,,,,,,,,
Dry,2309,5.73,67.2,21,17,18,9,,,,,,,,,
Wet,2309,5.97,108.7,23,16,10,5,,,,,,,,,
Dry,2312,5.86,42.7,19,12,21,16,,,,,,,,,
Wet,2312,6.83,77.6,19,12,16,0,,,,,,,,,
Dry,2315,5.26,42.8,20,10,15,15,,,,,,,,,
Wet,2315,5.71,76,21,14,15,0,,,,,,,,,
Dry,2318,5.47,41.4,18,10,12,5,,,,,,,,,
Wet,2318,5.58,76,20,14,14,0,,,,,,,,,
Dry,2321,4.32,37.6,18,6,17,22,,,,,,,,,
Wet,2321,6.29,70,23,17,15,4,,,,,,,,,
Dry,2324,4.29,38.5,15,12,10,13,,,,,,,,,
Wet,2324,4.86,52.2,19,13,5,8,,,,,,,,,
Dry,2327,3.88,27.6,17,8,14,9,,,,,,,,,
Wet,2327,4.94,65,21,16,8,18,,,,,,,,,
Dry,2330,4.04,40,18,8,11,5,,,,,,,,,
Wet,2330,5.95,80.1,20,16,10,1,,,,,,,,,
Dry,2333,3.88,28.3,18,6,12,5,,,,,,,,,
Wet,2333,6.58,43.4,17,8,13,20,,,,,,,,,
Dry,2336,4.15,28,15,9,10,12,,,,,,,,,
Wet,2336,5.67,46.2,17,10,6,9,,,,,,,,,
Dry,2339,3.63,34.3,16,8,14,21,,,,,,,,,
Wet,2339,4.88,71.4,18,15,9,7,,,,,,,,,
Dry,2342,4.74,34.2,15,8,15,2,,,,,,,,,
Wet,2342,5.93,72.1,19,10,1,0,,,,,,,,,
Dry,2345,5.02,42.3,21,13,12,5,,,,,,,,,
Wet,2345,5.86,98.7,22,17,10,5,,,,,,,,,
Dry,2348,4.98,37.3,18,10,14,4,,,,,,,,,
Wet,2348,7.03,72,19,12,5,0,,,,,,,,,
Dry,2351,4.06,37.7,18,11,1,0,,,,,,,,,
Wet,2351,5.77,74.3,20,14,0,0,,,,,,,,,
Dry,2354,5.12,41.7,20,8,10,7,,,,,,,,,
Wet,2354,5.37,80.4,22,14,0,0,,,,,,,,,
Dry,2357,4.27,31,17,10,13,1,,,,,,,,,
Wet,2357,6.25,88.5,21,14,8,0,,,,,,,,,
Dry,2360,3.8,26.2,12,10,5,0,,,,,,,,,
Wet,2360,4.93,50.03,15,9,8,4,,,,,,,,,
Dry,2363,3.58,30,13,9,10,11,,,,,,,,,
Wet,2363,5.48,47.5,15,12,12,10,,,,,,,,,
Dry,2366,4.75,24.8,13,8,8,11,,,,,,,,,
Wet,2366,4.97,44.6,14,10,10,4,,,,,,,,,
Dry,2369,4.66,33.5,15,10,10,2,,,,,,,,,
Wet,2369,5.13,55.1,17,10,9,2,,,,,,,,,
Dry,2372,5.14,31,14,12,11,15,,,,,,,,,
Wet,2372,6.42,51,16,12,11,22,,,,,,,,,
Dry,2375,5.71,31.6,16,10,13,5,,,,,,,,,
Wet,2375,6,66.5,19,14,17,6,,,,,,,,,
Dry,2378,4.35,29.7,16,5,8,2,,,,,,,,,
Wet,2378,6.84,75.6,20,12,17,4,,,,,,,,,
Dry,2381,,,,,,,,,,,,,,,
Wet,2381,,,,,,,,,,,,,,,
Dry,2384,4.84,41.9,19,10,13,6,,,,,,,,,
Wet,2384,6.65,83.1,20,15,8,1,,,,,,,,,
Dry,2387,3.89,26.3,16,10,11,12,,,,,,,,,
Wet,2387,6.36,50.06,16,10,12,14,,,,,,,,,
Dry,2390,3.43,18.3,13,5,6,0,,,,,,,,,
Wet,2390,6.31,61.5,18,12,13,1,,,,,,,,,
Dry,2393,4.14,31.2,16,10,10,7,,,,,,,,,
Wet,2393,4.45,53.4,19,12,14,9,,,,,,,,,
Dry,2396,3.44,38,15,9,6,0, ,,,,,,,,
Wet,2396,4.5,66.7,20,14,11,3,,,,,,,,,
Dry,2399,2.95,35.2,14,8,3,0,,,,,,,,,
Wet,2399,4.29,89.9,na,12,6,0,,,,,,,,,
Dry,2402,3.56,22.1,15,8,11,3,,,,,,,,,
Wet,2402,4.45,62.3,18,14,12,5,,,,,,,,,
Dry,2405,3.8,41,16,10,12,1,,,,,,,,,
Wet,2405,3.93,61.3,17,12,8,0,,,,,,,,,
Dry,2408,3.31,39.8,15,8,9,1,,,,,,,,,
Wet,2408,4.32,57.5,18,10,5,3,,,,,,,,,
Dry,2411,3.67,33.3,16,7,6,0,,,,,,,,,
Wet,2411,5.36,65.1,18,12,4,3,,,,,,,,,
Dry,2414,3.27,37.5,17,10,12,11,,,,,,,,,
Wet,2414,4.83,56.8,18,14,6,5,,,,,,,,,
Dry,2417,3.85,30.5,14,6,16,15,,,,,,,,,
Wet,2417,3.92,44.1,15,10,8,15,,,,,,,,,
Dry,2420,3.56,26.8,12,8,9,12,,,,,,,,,
Wet,2420,3.96,42,16,9,12,7,,,,,,,,,
Dry,2423,4.9,33.2,17,8,14,10,,,,,,,,,
Wet,2423,4.64,69.9,21,12,12,2,,,,,,,,,
Dry,2426,4.54,28.8,16,12,14,19,,,,,,,,,
Wet,2426,4.31,59,17,14,8,4,,,,,,,,,
Dry,2429,4.01,26,13,5,10,5,,,,,,,,,
Wet,2429,4.35,41.4,16,11,13,20,,,,,,,,,
Dry,2432,3.34,40.5,15,8,12,2,,,,,,,,,
Wet,2432,4.82,91,22,19,12,6,,,,,,,,,
Dry,2435,3.63,41,15,8,8,5,,,,,,,,,
Wet,2435,5.26,63.5,17,9,9,15,,,,,,,,,
Dry,2438,3.05,32.3,16,8,6,1,,,,,,,,,
Wet,2438,4.92,65.6,20,12,2,0,,,,,,,,,
Dry,2441,3.99,31,15,6,11,4,,,,,,,,,
Wet,2441,4.94,63.9,19,11,12,1,,,,,,,,,
Dry,2444,3.45,37.3,15,10,7,1,,,,,,,,,
Wet,2444,4.4,75,19,14,9,0,,,,,,,,,
Dry,2447,4.33,36.2,16,10,13,18,,,,,,,,,
Wet,2447,4.41,57.2,17,12,12,8,,,,,,,,,
Dry,2450,4.3,36.7,16,12,11,5,-,,,,,,,,
Wet,2450,4.21,59,17,11,5,7,,,,,,,,,
Dry,2453,4.66,32,14,12,8,4,,,,,,,,,
Wet,2453,5.17,71,19,14,8,0,",lhjkl;'",,,,,,,,
Dry,2456,4.03,38.6,jkl;',12,11,4,,,,,,,,,
Wet,2456,4.12,64.8,18,12,0,0,,,,,,,,,
Dry,2459,4.79,37,16,12,8,12,,,,,,,,,
Wet,2459,4.76,68,18,12,8,0,,,,,,,,,
Dry,2462,4.1,44.1,15,12,4,0,,,,,,,,,
Wet,2462,5.02,62,17,12,7,0,,,,,,,,,
Dry,2465,3.14,41.2,15,10,5,0,,,3.97,43,15,10,7,0,wrongfully input in dry 
Wet,2465,5.01,60.03,17,13,4,0,,,,,,,,,
Dry,2468,2.64,21.5,11,3,5,0,,,,,,,,,
Wet,2468,3.83,36.5,15,7,8,0,,,,,,,,,
Dry,2471,2.81,33.4,12,8,0,0,,,,,,,,,
Wet,2471,4.24,39.5,15,7,0,0,,,,,,,,,
Dry,2474,2.93,47.4,16,10,9,7,,,,,,,,,
Wet,2474,3.16,52,15,10,2,0,,,,,,,,,
Dry,2477,1.95,10.8,9,2,0,0,,,,,,,,,
Wet,2477,4.58,53.2,16,9,7,0,,,,,,,,,
Dry,2480,3.93,41.2,16,10,6,1,,,,,,,,,
Wet,2480,4.02,41.2,15,11,0,0,,,,,,,,,
Dry,2483,2.66,24.2,13,8,6,0,,,,,,,,,
Wet,2483,4.51,35.6,16,9,8,2,,,,,,,,,
Dry,2486,2.25,36.7,14,8,0,0,,,,,,,,,
Wet,2486,6,61,19,11,16,5,,,,,,,,,
Dry,2489,4.4,33.2,17,10,17,6,,,,,,,,,
Wet,2489,2.56,31,12,7,0,0,,,,,,,,,
Dry,2492,2.96,35,15,7,0,0,,,,,,,,,
Wet,2492,4.25,56.3,18,10,10,4,,,,,,,,,
Dry,2495,2.15,22.3,15,3,0,0,,,,,,,,,
Wet,2495,4.87,71.1,20,14,7,1,,,,,,,,,
Dry,2498,4.55,38.5,17,8,6,0,,,,,,,,,
Wet,2498,2.94,24.1,13,3,0,0,,,,,,,,,
Dry,2501,3.61,30.5,16,7,0,0,,,,,,,,,
Wet,2501,3.65,61,18,12,0,0,,,,,,,,,
Dry,2504,4.34,38,13,10,6,5,,,,,,,,,
Wet,2504,5.76,79.9,18,12,8,3,,,,,,,,,
Dry,2507,3.43,35.5,14,8,4,0,,,,,,,,,
Wet,2507,4.01,51,15,11,3,0,,,,,,,,,
Dry,2510,2.88,21.5,12,4,1,0,,,,,,,,,
Wet,2510,4.96,47.5,15,9,0,0,,,,,,,,,
Dry,2513,4.46,34.8,15,8,9,1,,,,,,,,,
Wet,2513,4.3,42.4,15,7,2,0,,,,,,,,,
Dry,2516,3.52,34,15,8,0,0,,,,,,,,,
Wet,2516,4.92,71.8,18,12,6,2,,,,,,,,,
Dry,2519,4.74,43.8,15,9,7,0,,,,,,,,,
Wet,2519,5.17,60,17,8,5,0,,,,,,,,,
Dry,2522,3.51,25.5,15,4,6,3,,,,,,,,,
Wet,2522,5.63,69.8,19,12,10,0,,,,,,,,,
Dry,2525,5.28,43.2,15,9,10,4,,,,,,,,,
Wet,2525,6.24,58,15,8,6,0,,,,,,,,,
Dry,2528,2.33,21.8,12,4,3,0,,,,,,,,,
Wet,2528,4.64,41.5,15,5,2,0,,,,,,,,,
Dry,2531,2.86,27.5,12,7,8,2,,,,,,,,,
Wet,2531,4.44,26,12,2,14,4,,,,,,,,,
Dry,2534,3.26,24.7,15,7,4,0,,,,,,,,,
Wet,2534,5.38,56,16,9,6,0,,,,,,,,,
Dry,2537,4.51,41.3,18,9,8,4,,,,,,,,,
Wet,2537,5.08,30.6,15,8,6,0,,,,,,,,,
Dry,2540,2.5,30.2,13,6,0,0,,,,,,,,,
Wet,2540,3.92,72,19,12,10,3,,,,,,,,,
Dry,2543,3.03,50.2,17,8,10,4,,,,,,,,,
Wet,2543,4.34,60.2,17,10,12,4,,,,,,,,,
Dry,2546,3.86,36.4,16,7,10,2,,,,,,,,,
Wet,2546,4.23,62.3,17,12,10,3,,,,,,,,,
Dry,2549,3.25,28.9,14,11,6,2,,,,,,,,,
Wet,2549,4.44,42.5,16,8,2,0,,,,,,,,,
Dry,2552,3.05,25,13,4,12,8,,,,,,,,,
Wet,2552,3.57,44.9,15,7,2,0,,,,,,,,,
Dry,2555,3.31,23.3,13,6,5,0,,,,,,,,,
Wet,2555,5.2,51.4,17,10,10,0,,,,,,,,,
Dry,2558,3.69,21.5,11,7,9,7,,,,,,,,,
Wet,2558,4.64,55.7,16,12,11,1,,,,,,,,,
Dry,2561,2.98,27.5,15,6,10,0,,,,,,,,,
Wet,2561,4.76,61.4,17,12,12,4,,,,,,,,,
