Treatment,ID,Diameter,Height,nodes,flowers,branches,2flowers,,,,,,,,,
Dry,3075,3.27,36.7,14,12,9,0,,,,,,,,,
Wet,3237,3.74,36.7,13,10,7,0,,,,,,,,,
Wet,3411,3.69,37,14,10,4,0,,,,,,,,,
Wet,2742,3.76,37,13,11,9,2,,,,,,,,,
Wet,2934,4.94,37,12,10,12,8,,,,,,,,,
Wet,2052,5.56,37.1,20,14,18,14,,,,,,,,,
Wet,2361,4.18,37.2,12,8,2,0,,,,,,,,,
Dry,3426,2.93,37.3,13,6,4,0,,,,,,,,,
Wet,2949,3.16,37.4,12,10,2,0,,,,,,,,,
Dry,2436,3.54,37.4,14,8,13,4,,,,,,,,,
Wet,3213,4.81,37.4,20,14,15,11,,,,,,,,,
Wet,2892,4.9,37.4,17,10,3,0,,,,,,,,,
Dry,3300,3.95,37.5,16,8,13,0,,,,,,,,,
Dry,3132,2.82,37.6,15,6,6,0,,,,,,,,,
Wet,3288,3.73,37.6,12,10,5,1,,,,,,,,,
Wet,2556,4.51,37.6,17,8,1,0,,,,,,,,,
Dry,3306,4.51,37.8,16,6,5,1,,,,,,,,,
Dry,2688,3.93,37.9,15,9,7,9,,,,,,,,,
Wet,2025,6.03,37.9,17,12,19,23,,,,,,,,,
Wet,2994,3.37,38,12,6,16,0,,,,,,,,,
Wet,3159,3.6,38,15,8,15,0,,,,,,,,,
Wet,3114,3.61,38,16,8,0,0,,,,,,,,,
Wet,2808,3.71,38,13,7,8,1,,,,,,,,,
Dry,2358,3.6,38.1,16,9,1,0,,,,,,,,,
Wet,3000,2.92,38.2,14,10,7,0,,,,,,,,,
Wet,2850,3.03,38.3,13,8,2,0,,,,,,,,,
Dry,2703,3.49,38.3,14,4,11,0,,,,,,,,,
Dry,3150,2.9,38.4,13,9,0,0,,,,,,,,,
Wet,3189,3.47,38.5,16,7,2,0,,,,,,,,,
Wet,2913,2.75,38.7,13,10,7,0,,,,,,,,,
Wet,2814,3.06,39,12,10,11,0,,,,,,,,,
Dry,2874,3.23,39,11,6,4,0,,,,,,,,,
Wet,2805,3.02,39.1,15,11,7,0,,,,,,,,,
Dry,2283,5.41,39.1,16,4,17,8,,,,,,,,,
Wet,3111,3.81,39.2,14,7,0,0,,,,,,,,,
Wet,2367,4.59,39.2,12,10,4,3,,,,,,,,,
Dry,2604,3.68,39.3,15,7,4,0,,,,,,,,,
Dry,2700,4.47,39.3,17,11,5,3,,,,,,,,,
Wet,2376,6.96,39.3,15,8,7,0,,,,,,,,,
Dry,3135,2.52,39.4,14,9,2,0,,,,,,,,,
Wet,2868,3.54,39.4,13,8,1,0,,,,,,,,,
Wet,3246,5.13,39.5,14,8,5,0,,,,,,,,,
Dry,3102,3.04,39.6,15,4,0,0,,,,,,,,,
Dry,3372,3.75,39.6,15,9,3,0,,,,,,,,,
Wet,2472,4.59,39.6,15,8,10,10,,,,,,,,,
Dry,2313,4.88,39.6,15,7,12,14,,,,,,,,,
Wet,2013,5.82,39.6,16,11,16,12,,,,,,,,,
Dry,2511,6.85,39.6,15,3,12,5,,,,,,,,,
Dry,2322,5.49,39.7,17,8,11,7,,,,,,,,,
Wet,2010,5.78,39.7,18,10,16,22,,,,,,,,,
Wet,3105,3.24,39.9,16,8,1,0,,,,,,,,,
Dry,3429,3.08,40,17,12,10,0,,,,,,,,,
Dry,2649,3.37,40,14,8,4,0,,,,,,,,,
Dry,2493,4.01,40,16,7,2,0,,,,,,,,,
Wet,2268,6.16,40,18,9,19,16,,,,,,,,,
Wet,2316,4.27,40.1,17,11,7,0,,,,,,,,,
Dry,2295,5.71,40.1,20,13,18,10,,,,,,,,,
Wet,3171,3.57,40.2,16,9,3,0,,,,,,,,,
Wet,3399,3.6,40.2,15,6,23,2,,,,,,,,,
Wet,2715,3.85,40.2,12,8,0,0,,,,,,,,,
Dry,2286,4.02,40.2,16,6,8,0,,,,,,,,,
Wet,2616,3.19,40.4,14,7,0,0,,,,,,,,,
Dry,3375,3.49,40.5,17,10,9,1,,,,,,,,,
Dry,2865,2.93,40.6,12,6,1,0,,,,,,,,,
Dry,3138,2.93,40.6,14,10,10,0,,,,,,,,,
Wet,2421,4.83,40.6,16,9,15,18,,,,,,,,,
Dry,2307,5.44,40.6,19,7,19,10,,,,,,,,,
Wet,2937,3.7,40.7,12,10,12,4,,,,,,,,,
Dry,2760,4.22,40.8,16,5,8,0,,,,,,,,,
Dry,2808,2.55,41,14,12,5,0,,,,,,,,,
Dry,2289,5.35,41,18,9,18,7,,,,,,,,,
Wet,3417,,41,12,9,11,4,,,,,,,,,
Dry,2508,3.63,41.1,14,8,6,1,,,,,,,,,
Wet,2601,4.24,41.1,16,9,14,0,,,,,,,,,
Dry,3267,3.39,41.3,14,11,7,8,,,,,,,,,
Dry,2457,4.59,41.3,17,12,12,6,,,,,,,,,
Wet,2415,5.07,41.4,18,10,19,10,,,,,,,,,
Wet,2139,3.97,41.5,15,10,8,0,,,,,,,,,
Dry,3357,3.3,41.7,17,10,7,3,,,,,,,,,
Wet,2559,4.06,41.7,13,9,5,1,,,,,,,,,
Wet,2007,6.1,41.8,20,14,13,10,,,,,,,,,
Wet,2004,6.44,41.9,20,11,21,2,,,,,,,,,
Wet,2832,2.53,42,14,7,0,0,,,,,,,,,
Dry,2955,3,42,16,9,6,0,,,,,,,,,
Wet,2820,3.07,42.1,13,10,5,0,,,,,,,,,
Dry,2397,3.84,42.2,16,11,12,1,,,,,,,,,
Wet,2370,4.3,42.4,14,8,2,0,,,,,,,,,
Dry,2889,3.44,42.5,17,6,0,0,,,,,,,,,
Wet,3069,3.85,42.5,14,10,13,0,,,,,,,,,
Wet,2403,4.61,42.5,14,12,12,16,,,,,,,,,
Dry,2454,5.8,42.5,18,18,7,0,,,,,,,,,
Dry,2544,3.38,42.6,15,4,11,2,,,,,,,,,
Wet,3405,4.64,42.6,15,10,9,0,,,,,,,,,
Dry,2442,4.94,42.6,17,9,12,16,,,,,,,,,
Wet,2826,2.84,43,13,9,9,0,,,,,,,,,
Wet,3231,3.69,43,14,8,2,0,,,,,,,,,
Wet,2952,2.76,43.1,14,10,4,0,,,,,,,,,
Wet,3360,3.26,43.1,15,8,2,0,,,,,,,,,
Dry,2502,5.64,43.1,19,12,18,0,,,,,,,,,
Wet,3198,3.74,43.2,17,11,8,0,,,,,,,,,
Dry,2892,4.08,43.3,19,9,0,0,,,,,,,,,
Wet,3054,5.25,43.3,16,11,12,2,,,,,,,,,
Wet,2364,4.52,43.4,14,10,8,9,,,,,,,,,
Dry,2715,3.23,43.6,14,8,1,0,,,,,,,,,
Wet,2565,4.43,43.6,15,8,5,0,,,,,,,,,
Wet,2490,5.85,43.7,20,9,16,11,,,,,,,,,
Wet,2532,6.24,43.9,16,10,15,2,,,,,,,,,
Wet,3315,3.39,44,16,11,3,0,,,,,,,,,
Wet,3279,3.66,44,13,10,13,8,,,,,,,,,
Wet,2583,3.75,44.1,18,10,16,3,,,,,,,,,
Dry,3324,3.73,44.2,15,12,3,0,,,,,,,,,
Wet,3390,4.06,44.3,15,7,10,2,,,,,,,,,
Wet,3324,3.68,44.4,12,8,4,0,,,,,,,,,
Wet,3255,3.9,44.4,13,9,11,4,,,,,,,,,
Wet,2001,5.44,44.4,16,12,10,0,,,,,,,,,
Dry,3417,3.77,44.5,14,12,14,3,,,,,,,,,
Wet,2379,5.62,44.6,18,9,8,0,,,,,,,,,
Wet,2256,6.49,44.6,18,10,13,20,,,,,,,,,
Wet,2871,3.28,44.7,13,9,1,0,,,,,,,,,
Dry,2505,5.58,44.7,14,8,18,10,,,,,,,,,
Dry,2475,3.21,44.8,16,6,2,2,,,,,,,,,
Wet,2703,3.92,45,15,10,0,0,,,,,,,,,
Wet,3261,4.27,45,12,11,12,7,,,,,,,,,
Wet,3258,4.68,45,14,13,12,3,,,,,,,,,
Wet,2016,6.42,45,20,12,21,10,,,,,,,,,
Dry,2835,3.07,45.3,15,11,4,3,,,,,,,,,
Wet,2550,4.11,45.3,14,10,4,0,,,,,,,,,
Dry,2706,3.17,45.5,16,6,8,0,,,,,,,,,
Wet,2388,6.73,45.5,17,9,18,12,,,,,,,,,
Wet,2811,2.52,45.6,13,12,6,1,,,,,,,,,
Wet,2691,4.48,45.7,14,12,8,8,,,,,,,,,
Wet,2535,5.32,45.7,16,10,15,3,,,,,,,,,
Wet,2499,6.24,45.7,18,11,17,12,,,,,,,,,
Wet,2418,3.83,45.8,16,9,7,8,,,,,,,,,
Wet,2778,3.56,45.9,13,7,2,0,,,,,,,,,
Wet,3234,4.14,45.9,13,10,10,0,,,,,,,,,
Dry,3261,2.98,46,14,12,11,0,,,,,,,,,
Wet,3357,3.41,46,16,9,10,4,,,,,,,,,
Dry,2562,3.39,46.2,16,7,12,0,,,,,,,,,
Wet,2523,6.31,46.2,18,10,17,14,,,,,,,,,
Wet,2295,6.45,46.2,18,10,10,1,,,,,,,,,
Wet,2835,3.19,46.3,15,9,0,0,,,,,,,,,
Dry,3381,3.22,46.5,15,11,5,0,,,,,,,,,
Wet,2346,4.62,46.5,16,8,0,0,,,,,,,,,
Wet,2697,4.01,47.1,14,9,3,0,,,,,,,,,
Dry,2667,3.69,47.2,17,7,0,0,,,,,,,,,
Wet,3414,3.95,47.2,19,12,6,0,,,,,,,,,
Dry,2052,5.89,47.2,22,12,15,19,,,,,,,,,
Wet,3381,3.35,47.3,13,6,4,0,,,,,,,,,
Wet,3387,4.28,47.3,16,10,13,5,,,,,,,,,
Wet,2940,3.34,47.4,14,10,10,0,,,,,,,,,
Wet,2592,4.89,47.4,19,7,8,0,,,,,,,,,
Dry,2517,5.71,47.4,16,10,9,9,,,,,,,,,
Wet,2784,3.58,47.5,16,7,4,0,,,,,,,,,
Dry,2844,2.68,47.7,14,10,5,0,,,,,,,,,
Wet,2958,3.17,48,15,11,10,0,,,,,,,,,
Dry,3396,3.93,48,16,10,6,0,,,,,,,,,
Wet,2103,5.51,48,19,12,16,11,,,,,,,,,
Wet,2304,5.96,48.1,19,11,2,0,,,,,,,,,
Wet,2037,7.39,48.1,20,9,16,22,,,,,,,,,
Dry,2280,4.99,48.3,18,6,20,1,,,,,,,,,
Wet,2466,6.12,48.3,14,10,6,8,,,,,,,,,
Wet,2970,3.42,48.4,15,11,12,1,,,,,,,,,
Wet,3147,2.39,48.5,15,10,5,0,,,,,,,,,
Wet,3273,3.23,48.5,14,11,11,4,,,,,,,,,
Wet,2838,3.28,48.9,16,8,2,0,,,,,,,,,
Wet,2529,4.9,48.9,14,8,10,4,,,,,,,,,
Wet,2979,3.67,49,16,12,14,2,,,,,,,,,
Dry,3219,3.26,49.1,14,10,3,0,,,,,,,,,
Wet,3291,4.01,49.1,13,10,8,1,,,,,13.8,14,6,2,0
Wet,2982,3.98,49.2,15,9,14,0,,,,,,,,,
Wet,3282,3.99,49.3,15,10,12,5,,,,,,,,,
Wet,3228,4.55,49.4,16,9,9,0,,,,,,,,,
Wet,2877,3.42,49.6,16,10,0,0,,,,,,,,,
Wet,2049,6.93,49.8,20,9,22,40,,,,,,,,,
Wet,2988,3.51,50,13,10,5,0,,,,,,,,,
Wet,2106,6.23,50,17,9,8,18,,,,,,,,,
Wet,2460,5.08,50.1,13,10,8,8,,,,,,,,,
Wet,2253,5.29,50.3,15,11,8,5,,,,,,,,,
Wet,2547,5.08,50.4,15,10,12,1,,,,,,,,,
Wet,2943,3.78,50.5,15,12,9,0,,,,,,,,,
Dry,2091,3.95,50.7,15,10,7,1,,,,,,,,,
Wet,2055,6.93,50.7,20,11,11,8,,,,,,,,,
Wet,2883,4.51,50.8,17,11,2,0,,,,,,,,,
Wet,2064,7.46,50.9,20,13,18,30,,,,,,,,,
Wet,2298,5.78,51.1,20,12,19,13,,,,,,,,,
Wet,2610,3.57,51.2,16,10,7,2,,,,,,,,,
Wet,3327,4.53,51.3,14,10,7,0,,,,,,,,,
Wet,3408,4.4,51.4,16,11,16,8,,,,,,,,,
Wet,2034,5.65,51.4,17,12,13,2,,,,,,,,,
Wet,2967,4.07,51.5,14,11,14,4,,,,,,,,,
Wet,2955,4.26,51.6,14,12,7,1,,,,,,,,,
Wet,3144,3.81,52.3,15,10,10,0,,,,,,,,,
Wet,2457,5.33,52.3,15,10,11,13,,,,,,,,,
Wet,3276,3.41,52.5,12,11,7,10,,,,,,,,,
Wet,2571,5.49,53,19,9,15,0,,,,,,,,,
Wet,3294,4.73,53.2,14,11,13,4,,,,,,,,,
Wet,2373,5.98,53.2,14,10,8,8,,,,,,,,,
Dry,2880,3.45,53.5,16,11,1,0,,,,,,,,,
Wet,2463,5.35,53.6,16,12,9,8,,,,,,,,,
Wet,3129,3.3,53.8,15,12,12,0,,,,,,,,,
Wet,2898,4.2,53.8,21,16,0,0,,,,,,,,,
Wet,2874,3.44,54.1,15,9,0,0,,,,,,,,,
Wet,2757,4.4,54.2,15,9,3,0,,,,,,,,,
Wet,2094,4.82,54.3,16,10,1-,2,,,,,,,,,
Wet,2412,4.94,54.3,17,10,5,0,,,,,,,,,
Wet,3375,4.46,54.5,19,9,8,5,,,,,,,,,
Wet,3252,5.32,54.5,15,13,15,9,,,,,,,,,
Wet,2019,5.36,54.7,20,14,24,23,,,,,,,,,
Wet,2496,6.8,54.9,17,12,14,21,,,,,,,,,
Wet,3309,5.1,55,17,10,4,0,,,,,,,,,
Wet,2568,5.05,55.1,16,10,14,19,,,,,,,,,
Wet,2502,6.55,55.5,15,9,13,17,,,,,,,,,
Wet,2385,5.21,55.6,19,12,6,0,,,,,,,,,
Wet,2406,5.89,55.8,17,12,12,7,,,,,,,,,
Wet,2100,6.39,55.8,17,11,14,13,,,,,,,,,
Wet,2439,6.24,55.9,18,12,13,20,,,,,,,,,
Wet,3354,3.16,56,18,8,4,0,,,,,,,,,
Wet,2292,6.69,56.1,22,15,21,17,,,,,,,,,
Wet,2853,3.22,56.2,16,12,0,0,,,,,,,,,
Wet,3378,4.33,56.3,16,11,5,0,,,,,,,,,
Wet,2763,4.76,56.3,15,11,5,0,,,,,,,,,
Wet,2046,7.3,56.4,21,13,16,12,,,,,,,,,
Wet,3270,4.39,56.5,14,14,12,16,,,,,,,,,
Wet,2382,6.12,56.5,20,12,18,1,,,,,,,,,
Wet,2544,4.77,57,17,10,14,0,,,,,17,10,8,4,
Wet,3138,4.39,57.4,16,12,6,1,,,,,,,,,
Wet,2262,6.11,57.5,18,12,19,29,,,,,,,,,
Wet,3306,5.29,57.6,17,10,18,0,,,,,,,,,
Wet,2424,4.16,57.7,20,11,12,0,,,,,,,,,
Wet,2595,4.32,57.7,14,8,6,0,,,,,,,,,
Wet,3435,4.41,57.7,16,12,14,3,,,,,,,,,
Wet,3285,4.92,57.7,15,12,9,1,,,,,,,,,
Wet,2442,4.83,58.6,17,11,1,0,,,,,,,,,
Wet,3426,4.15,58.8,17,11,4,0,,,,,,,,,
Wet,2604,4.48,59,19,10,8,4,,,,,,,,,
Wet,2028,5.92,59,18,14,14,3,,,,,,,,,
Wet,2700,6.21,59,18,12,15,7,,,,,,,,,
Dry,3423,3.21,59.4,15,8,0,0,,,,,,,,,
Dry,3336,3.16,59.5,17,14,5,0,,,,,,,,,
Wet,2577,5.73,59.5,19,13,13,12,,,,,,,,,
Wet,3402,4.87,59.6,18,7,8,1,,,,,,,,,
Wet,2289,5.97,59.6,19,12,11,0,,,,,,,,,
Wet,2436,5.43,59.7,17,10,10,11,,,,,,,,,
Wet,2391,7.41,59.9,21,12,7,2,,,,,,,,,
Wet,3249,3.81,60,18,9,4,0,,,,,,,,,
Wet,2427,5.3,60,20,10,21,52,,,,,,,,,
Wet,2433,5.82,60.1,19,12,19,28,,,,,,,,,
Wet,3120,2.87,60.3,16,11,3,0,,,,,,,,,
Wet,2280,5.7,60.3,19,10,6,14,,,,,,,,,
Wet,2286,6.03,60.5,20,15,10,7,,,,,,,,,
Wet,2313,5.99,60.6,20,13,14,3,,,,,,,,,
Wet,2448,5.83,60.7,19,12,17,11,,,,,,,,,
Wet,3432,4.03,61,17,10,4,0,,,,,,,,,
Wet,3318,4.58,61.2,18,12,3,0,,,,,,,,,
Wet,2688,5.69,61.8,16,10,7,1,,,,,,,,,
Wet,3369,4,62,16,12,16,2,,,,,,,,,
Dry,3438,3.83,62.1,17,14,10,1,,,,,,,,,
Wet,3267,3.55,62.3,16,16,5,0,,,,,,,,,
Wet,2508,4.6,62.3,17,11,8,2,,,,,,,,,
Wet,2451,5.69,62.5,18,13,12,19,,,,,,,,,
Dry,2310,6.02,62.5,20,15,13,6,,,,,,,,,
Wet,2445,6.12,63.1,16,10,13,22,,,,,,,,,
Wet,3393,4.79,64,18,9,17,0,,,,,,,,,
Wet,2856,4.78,64.2,16,14,10,0,,,,,,,,,
Wet,2769,5.8,64.2,16,12,2,0,,,,,,,,,
Wet,2043,6.65,64.3,18,13,13,6,,,,,,,,,
Wet,2022,5.75,64.5,20,15,17,12,,,,,,,,,
Wet,2706,5.12,64.8,18,12,6,0,,,,,,,,,
Wet,2040,7.12,65.2,19,12,18,21,,,,,,,,,
Wet,3321,3.89,65.6,18,12,8,0,,,,,,,,,
Wet,3396,4.11,65.6,17,11,9,0,,,,,,,,,
Wet,2541,5.36,66.4,19,12,12,6,,,,,,,,,
Wet,2487,5.54,66.4,20,11,5,9,,,,,,,,,
Wet,3333,3.9,66.7,19,12,7,0,,,,,,,,,
Wet,2097,6.38,66.8,17,11,13,10,,,,,,,,,
Wet,2895,5.91,67.1,20,14,12,0,,,,,,,,,
Wet,3366,3.88,67.5,17,12,7,0,,,,,,,,,
Wet,2514,6.73,67.7,17,10,2,1,,,,,,,,,
Wet,2709,5.54,67.9,16,11,11,1,,,,,,,,,
Wet,2400,4.7,68.2,20,15,6,10,,,,,,,,,
Wet,2409,4.5,68.8,18,12,9,4,,,,,,,,,
Wet,2598,5.76,69.3,16,10,10,4,,,,,,,,,
Wet,2283,7.45,70.6,20,13,20,23,,,,,,,,,
Wet,2649,6.15,70.9,17,12,2,0,,,,,,,,,
Wet,2319,7.35,71.2,20,14,16,15,,,,,,,,,
Wet,2481,5.03,71.4,16,8,9,0,,,,,,,,,
Wet,2322,5.32,71.5,21,16,13,5,,,,,,,,,
Wet,2454,4.49,72,19,12,3,0,,,,,,,,,
Wet,2091,5.74,72,19,12,16,6,,,,,,,,,
Wet,2505,6.42,72.2,20,10,12,8,,,,,,,,,
Wet,2031,5.83,73.4,23,14,20,2,,,,,,,,,
Wet,2259,7.21,73.6,18,14,18,23,,,,,,,,,
Wet,2301,6.03,74.1,22,14,21,6,,,,,,,,,
Wet,2718,4.76,74.4,18,13,11,0,,,,,,,,,
Wet,3384,4.22,74.5,18,12,16,0,,,,,,,,,
Wet,2553,4.07,75.4,17,11,10,0,,,,,,,,,
Wet,3423,4.33,77.2,16,11,13,0,,,,,,,,,
Wet,2511,8.45,77.5,20,12,22,4,,,,,,,,,
Wet,2520,6.75,78.8,19,10,14,0,,,,,,,,,
Wet,2310,6.78,78.9,21,16,0,0,,,,,,,,,
Wet,2271,5.9,82,21,15,18,8,,,,,,,,,
Wet,2307,5.62,83.3,23,16,21,8,,,,,,,,,
Wet,3372,4.6,87.1,20,15,19,0,,,,,,,,,
Wet,2277,6.98,92.7,23,18,16,14,,,,,,,,,
Wet,3216,2.88,,,,,,,,,,,,,,
Dry,2919,,,,,,,,,,,,,,,
Dry,2859,,,,0,,0,,,,,,,,,
Dry,2208,,,,0,,0,,,,,,,,,
Dry,2061,,,,0,,0,,,,,,,,,
Dry,3030,,,,0,,0,,,,,,,,,
Dry,2115,,,,0,,0,,,,,,,,,
Dry,2343,,,,0,,0,,,,,,,,,
Dry,2613,,,,0,,0,,,,,,,,,
Dry,2346,,,,0,,0,,,,,,,,,
Dry,2166,,,,0,,0,,,,,,,,,
Dry,3222,,,,0,,0,,,,,,,,,
Dry,3090,,,,0,,0,,,,,,,,,
Dry,2247,,,,0,,0,,,,,,,,,
Dry,3060,,,,0,,0,,,,,,,,,
Dry,2205,,,,0,,0,,,,,,,,,
Dry,2451,,,,0,,0,,,,,,,,,
Dry,3339,,,,0,,0,,,,,,,,,
Dry,3093,,,,0,,0,,,,,,,,,
Dry,2178,,,,0,,0,,,,,,,,,
Dry,2658,,,,0,,0,,,,,,,,,
Dry,2772,,,,0,,0,,,,,,,,,
Dry,3099,,,,0,,0,,,,,,,,,
Dry,3168,,,,0,,0,,,,,,,,,
Dry,2418,,,,0,,0,,,,,,,,,
Dry,2085,,,,0,,0,,,,,,,,,
Dry,3096,,,,0,,0,,,,,,,,,
Dry,2829,,,,0,,0,,,,,,,,,
Dry,2217,,,,0,,0,,,,,,,,,
Dry,3348,,,,0,,0,,,,,,,,,
Dry,2202,,,,0,,0,,,,,,,,,
Dry,3051,,,,0,,0,,,,,,,,,
Dry,2925,,,,0,,0,,,,,,,,,
Dry,2439,,,,0,,0,,,,,,,,,
Dry,2799,,,,0,,0,,,,,,,,,
Dry,2748,,,,0,,0,,,,,,,,,
Dry,2031,,,,0,,0,,,,,,,,,
Dry,2244,,,,0,,0,,,,,,,,,
Dry,2025,,,,0,,0,,,,,,,,,
Dry,2664,,,,0,,0,,,,,,,,,
Dry,2019,,,,0,,0,,,,,,,,,
Dry,3420,,,,0,,0,,,,,,,,,
Dry,3129,,,,0,,0,,,,,,,,,
Dry,3087,,,,0,,0,,,,,,,,,
Dry,3351,,,,0,,0,,,,,,,,,
Dry,2745,,,,0,,0,,,,,,,,,
Dry,2685,,,,0,,0,,,,,,,,,
Dry,3177,,,,0,,0,,,,,,,,,
Dry,2241,,,,0,,0,,,,,,,,,
Dry,2721,,,,0,,0,,,,,,,,,
Dry,2253,,,,0,,0,,,,,,,,,
Dry,2274,,,,0,,0,,,,,,,,,
Dry,2211,,,,0,,0,,,,,,,,,
Dry,2787,,,,0,,0,,,,,,,,,
Dry,3186,,,,0,,0,,,,,,,,,
Dry,3084,,,,0,,0,,,,,,,,,
Dry,2862,,,,0,,0,,,,,,,,,
Dry,3264,,,,0,,0,,,,,,,,,
Dry,3117,,,,0,,0,,,,,,,,,
Dry,3207,,,,0,,0,,,,,,,,,
Dry,2964,,,,0,,0,,,,,,,,,
Dry,2682,,,,0,,0,,,,,,,,,
Dry,3171,,,,0,,0,,,,,,,,,
Dry,2352,,,,0,,0,,,,,,,,,
Dry,3363,,,,0,,0,,,,,,,,,
Dry,2229,,,,0,,0,,,,,,,,,
Dry,2847,,,,0,,0,,,,,,,,,
Dry,2067,,,,0,,0,,,,,,,,,
Dry,2238,,,,0,,0,,,,,,,,,
Dry,3165,,,,0,,0,,,,,,,,,
Dry,3156,,,,0,,0,,,,,,,,,
Dry,2655,,,,0,,0,,,,,,,,,
Dry,2154,,,,0,,0,,,,,,,,,
Dry,2196,,,,0,,0,,,,,,,,,
Dry,2652,,,,0,,0,,,,,,,,,
Dry,3252,,,,0,,0,,,,,,,,,
Dry,2736,,,,0,,0,,,,,,,,,
Dry,2145,,,,0,,0,,,,,,,,,
Dry,2190,,,,0,,0,,,,,,,,,
Dry,2109,,,,0,,0,,,,,,,,,
Dry,2250,,,,0,,0,,,,,,,,,
Dry,2841,,,,0,,0,,,,,,,,,
Dry,2199,,,,0,,0,,,,,,,,,
Dry,2724,,,,0,,0,,,,,,,,,
Dry,2193,,,,0,,0,,,,,,,,,
Dry,2265,,,,0,,0,,,,,,,,,
Dry,2073,,,,0,,0,,,,,,,,,
Dry,2637,,,,0,,0,,,,,,,,,
Dry,2694,,,,0,,0,,,,,,,,,
Dry,2184,,,,0,,0,,,,,,,,,
Dry,2169,,,,0,,0,,,,,,,,,
Dry,3018,,,,0,,0,,,,,,,,,
Dry,2535,,,,0,,0,,,,,,,,,
Dry,3162,,,,0,,0,,,,,,,,,
Dry,2712,,,,0,,0,,,,,,,,,
Wet,2859,,,,0,,0,,,,,,,,,
Wet,2208,,,,0,,0,,,,,,,,,
Wet,2061,,,,0,,0,,,,,,,,,
Wet,2115,,,,0,,0,,,,,,,,,
Wet,2328,,,,0,,0,,,,,,,,,
Wet,2343,,,,0,,0,,,,,,,,,
Wet,3345,,,,0,,0,,,,,,,,,
Wet,2526,,,,0,,0,,,,,,,,,
Wet,3150,,,,0,,0,,,,,,,,,
Wet,3222,,,,0,,0,,,,,,,,,
Wet,2070,,,,0,,0,,,,,,,,,
Wet,3090,,,,0,,0,,,,,,,,,
Wet,2337,,,,0,,0,,,,,,,,,
Wet,2886,,,,0,,0,,,,,,,,,
Wet,2247,,,,0,,0,,,,,,,,,
Wet,3060,,,,0,,0,,,,,,,,,
Wet,2205,,,,0,,0,,,,,,,,,
Wet,2082,,,,0,,0,,,,,,,,,
Wet,3339,,,,0,,0,,,,,,,,,
Wet,2223,,,,0,,0,,,,,,,,,
Wet,3093,,,,0,,0,,,,,,,,,
Wet,2178,,,,0,,0,,,,,,,,,
Wet,3102,,,,0,,0,,,,,25.1,14,8,12,1
Wet,2658,,,,0,,0,,,,,,,,,
Wet,2754,,,,0,,0,,,,,,,,,
Wet,2772,,,,0,,0,,,,,,,,,
Wet,2661,,,,0,,0,,,,,,,,,
Wet,2793,,,,0,,0,,,,,,,,,
Wet,3099,,,,0,,0,,,,,,,,,
Wet,2187,,,,0,,0,,,,,,,,,
Wet,2766,,,,0,,0,,,,,,,,,
Wet,2181,,,,0,,0,,,,,,,,,
Wet,2085,,,,0,,0,,,,,,,,,
Wet,2235,,,,0,,0,,,,,,,,,
Wet,3096,,,,0,,0,,,,,,,,,
Wet,2829,,,,0,,0,,,,,,,,,
Wet,2217,,,,0,,0,,,,,,,,,
Wet,2775,,,,0,,0,,,,,,,,,
Wet,3348,,,,0,,0,,,,,,,,,
Wet,2202,,,,0,,0,,,,,,,,,
Wet,2469,,,,0,,0,,,,,,,,,
Wet,2925,,,,0,,0,,,,,,,,,
Wet,2676,,,,0,,0,,,,,,,,,
Wet,2748,,,,0,,0,,,,,,,,,
Wet,2679,,,,0,,0,,,,,,,,,
Wet,2160,,,,0,,0,,,,,,,,,
Wet,2844,,,,0,,0,,,,,,,,,
Wet,2478,,,,0,,0,,,,,,,,,
Wet,2244,,,,0,,0,,,,,,,,,
Wet,2121,,,,0,,0,,,,,,,,,
Wet,2667,,,,0,,0,,,,,,,,,
Wet,2058,,,,0,,0,,,,,30.6,13,10,10,0
Wet,2664,,,,0,,0,,,,,,,,,
Wet,3420,,,,0,,0,,,,,,,,,
Wet,2538,,,,0,,0,,,,,,,,,
Wet,3087,,,,0,,0,,,,,,,,,
Wet,3351,,,,0,,0,,,,,,,,,
Wet,2148,,,,0,,0,,,,,,,,,
Wet,2889,,,,0,,0,,,,,,,,,
Wet,2175,,,,0,,0,,,,,,,,,
Wet,2358,,,,0,,0,,,,,,,,,
Wet,2112,,,,0,,0,,,,,,,,,
Wet,2517,,,,0,,0,,,,,,,,,
Wet,2673,,,,0,,0,,,,,,,,,
Wet,2685,,,,0,,0,,,,,,,,,
Wet,3132,,,,0,,0,,,,,,,,,
Wet,2172,,,,0,,0,,,,,,,,,
Wet,2910,,,,0,,0,,,,,,,,,
Wet,2241,,,,0,,0,,,,,,,,,
Wet,3135,,,,0,,0,,,,,,,,,
Wet,3429,,,,0,,0,,,,,,,,,
Wet,2475,,,,0,,0,,,,,,,,,
Wet,2721,,,,0,,0,,,,,,,,,
Wet,2562,,,,0,,0,,,,,,,,,
Wet,2670,,,,0,,0,,,,,,,,,
Wet,2274,,,,0,,0,,,,,,,,,
Wet,2211,,,,0,,0,,,,,,,,,
Wet,2787,,,,0,,0,,,,,,,,,
Wet,3084,,,,0,,0,,,,,,,,,
Wet,2862,,,,0,,0,,,,,,,,,
Wet,3264,,,,0,,0,,,,,,,,,
Wet,2493,,,,0,,0,,,,,,,,,
Wet,2760,,,,0,,0,,,,,,,,,
