Rep,ID,days_to_germ,S0_ID,S1_ID,S0_Treatment,S1_treatment
2,2709,#DIV/0!,57,1118,D,D
2,2712,#DIV/0!,57,1118,D,W
2,2715,#DIV/0!,57,1119,D,D
2,2718,9.666666667,57,1119,D,W
2,2721,20.33333333,148,1120,W,D
2,2724,13,148,1120,W,W
2,2727,12.33333333,148,1121,W,D
2,2730,16,148,1121,W,W
2,2733,20.66666667,148,1122,W,D
2,2736,12.33333333,148,1122,W,W
2,2739,7,148,1123,D,D
2,2742,14,148,1123,D,W
2,2745,14.33333333,148,1124,D,D
2,2748,17,148,1124,D,W
2,2751,13,148,1125,D,D
2,2754,12.66666667,148,1125,D,W
2,2757,7.5,152,1126,W,D
2,2760,11.33333333,152,1126,W,W
2,2763,8,152,1127,W,D
2,2766,16,152,1127,W,W
2,2769,8,152,1128,W,D
2,2772,#DIV/0!,152,1128,W,W
2,2775,10,152,1129,D,D
2,2778,14.66666667,152,1129,D,W
2,2781,#DIV/0!,152,1130,D,D
2,2784,9.5,152,1130,D,W
2,2787,#DIV/0!,152,1131,D,D
2,2790,12.5,152,1131,D,W
2,2793,7.666666667,153,1132,W,D
2,2796,11.5,153,1132,W,W
2,2799,7,153,1133,W,D
2,2802,9,153,1133,W,W
2,2805,#DIV/0!,153,1134,W,D
2,2808,9,153,1134,W,W
2,2811,8,153,1135,D,D
2,2814,8.333333333,153,1135,D,W
2,2817,8,153,1136,D,D
2,2820,7.666666667,153,1136,D,W
2,2823,9.333333333,153,1137,D,D
2,2826,11.66666667,153,1137,D,W
2,2829,#DIV/0!,154,1138,W,D
2,2832,8,154,1138,W,W
2,2835,#DIV/0!,154,1139,W,D
2,2838,7,154,1139,W,W
2,2841,#DIV/0!,154,1140,W,D
2,2844,4,154,1140,W,W
2,2847,#DIV/0!,154,1141,D,D
2,2850,8.5,154,1141,D,W
2,2853,4,154,1142,D,D
2,2856,10.66666667,154,1142,D,W
2,2859,#DIV/0!,154,1143,D,D
2,2862,#DIV/0!,154,1143,D,W
2,2865,7,155,1144,W,D
2,2868,7,155,1144,W,W
2,2871,#DIV/0!,155,1145,W,D
2,2874,7,155,1145,W,W
2,2877,4,155,1146,W,D
2,2880,#DIV/0!,155,1146,W,W
2,2883,4,155,1147,D,D
2,2886,4,155,1147,D,W
2,2889,4,155,1148,D,D
2,2892,#DIV/0!,155,1148,D,W
2,2895,4,155,1149,D,D
2,2898,6,155,1149,D,W
2,2901,7.5,164,1150,W,D
2,2904,13,164,1150,W,W
2,2907,7.333333333,164,1151,W,D
2,2910,8,164,1151,W,W
2,2913,#DIV/0!,164,1152,W,D
2,2916,14.5,164,1152,W,W
2,2919,8,164,1153,D,D
2,2922,9,164,1153,D,W
2,2925,#DIV/0!,164,1154,D,D
2,2928,7.666666667,164,1154,D,W
2,2931,10,164,1155,D,D
2,2934,12.5,164,1155,D,W
2,2937,7.333333333,166,1156,W,D
2,2940,12,166,1156,W,W
2,2943,9.333333333,166,1157,W,D
2,2946,10.5,166,1157,W,W
2,2949,11.33333333,166,1158,W,D
2,2952,9,166,1158,W,W
2,2955,8,166,1159,D,D
2,2958,9.666666667,166,1159,D,W
2,2961,7,166,1160,D,D
2,2964,8.666666667,166,1160,D,W
2,2967,8,166,1161,D,D
2,2970,8,166,1161,D,W
2,2973,12,167,1162,W,D
2,2976,13,167,1162,W,W
2,2979,9.333333333,167,1163,W,D
2,2982,11.33333333,167,1163,W,W
2,2985,8.666666667,167,1164,W,D
2,2988,12,167,1164,W,W
2,2991,7.333333333,167,1165,D,D
2,2994,11,167,1165,D,W
2,2997,10.33333333,167,1166,D,D
2,3000,11,167,1166,D,W
2,3003,11.33333333,167,1167,D,D
2,3006,11,167,1167,D,W
2,3009,8.333333333,170,1168,W,D
2,3012,8.333333333,170,1168,W,W
2,3015,7,170,1169,W,D
2,3018,9.666666667,170,1169,W,W
2,3021,7.333333333,170,1170,W,D
2,3024,7.666666667,170,1170,W,W
2,3027,8,170,1171,D,D
2,3030,7.5,170,1171,D,W
2,3033,7,170,1172,D,D
2,3036,10.66666667,170,1172,D,W
2,3039,8.333333333,170,1173,D,D
2,3042,10.5,170,1173,D,W
2,3045,7,172,1174,W,D
2,3048,10.66666667,172,1174,W,W
2,3051,7.5,172,1175,W,D
2,3054,11,172,1175,W,W
2,3057,12.5,172,1176,W,D
2,3060,#DIV/0!,172,1176,W,W
2,3063,6.666666667,172,1177,D,D
2,3066,7.666666667,172,1177,D,W
2,3069,8.5,172,1178,D,D
2,3072,15.5,172,1178,D,W
2,3075,8,172,1179,D,D
2,3078,7.5,172,1179,D,W
2,3081,9.666666667,342,1180,W,D
2,3084,#DIV/0!,342,1180,W,W
2,3087,#DIV/0!,342,1181,W,D
2,3090,#DIV/0!,342,1181,W,W
2,3093,#DIV/0!,342,1182,W,D
2,3096,#DIV/0!,342,1182,W,W
2,3099,#DIV/0!,342,1183,D,D
2,3102,8,342,1183,D,W
2,3105,7,342,1184,D,D
2,3108,8.666666667,342,1184,D,W
2,3111,7.5,342,1185,D,D
2,3114,9,342,1185,D,W
2,3117,7,343,1186,W,D
2,3120,8,343,1186,W,W
2,3123,7,343,1187,W,D
2,3126,8,343,1187,W,W
2,3129,8.666666667,343,1188,W,D
2,3132,7,343,1188,W,W
2,3135,12,343,1189,D,D
2,3138,12.5,343,1189,D,W
2,3141,10.33333333,343,1190,D,D
2,3144,7.666666667,343,1190,D,W
2,3147,7,343,1191,D,D
2,3150,17,343,1191,D,W
2,3153,8,344,1192,W,D
2,3156,#DIV/0!,344,1192,W,W
2,3159,14.33333333,344,1193,W,D
2,3162,9,344,1193,W,W
2,3165,#DIV/0!,344,1194,W,D
2,3168,7,344,1194,W,W
2,3171,5.5,344,1195,D,D
2,3174,10,344,1195,D,W
2,3177,5.5,344,1196,D,D
2,3180,9.666666667,344,1196,D,W
2,3183,8,344,1197,D,D
2,3186,7,344,1197,D,W
2,3189,6,345,1198,W,D
2,3192,8.666666667,345,1198,W,W
2,3195,10,345,1199,W,D
2,3198,#DIV/0!,345,1199,W,W
2,3201,14,345,1200,W,D
2,3204,7,345,1200,W,W
2,3207,#DIV/0!,345,1201,D,D
2,3210,11-Jan,345,1201,D,W
2,3213,11.33333333,345,1202,D,D
2,3216,7,345,1202,D,W
2,3219,7,345,1203,D,D
2,3222,#DIV/0!,345,1203,D,W
2,3225,9.333333333,349,1204,W,D
2,3228,8.333333333,349,1204,W,W
2,3231,8,349,1205,W,D
2,3234,11.33333333,349,1205,W,W
2,3237,7.5,349,1206,W,D
2,3240,8.666666667,349,1206,W,W
2,3243,7,349,1207,D,D
2,3246,10,349,1207,D,W
2,3249,13.66666667,349,1208,D,D
2,3252,8.333333333,349,1208,D,W
2,3255,7,349,1209,D,D
2,3258,9.333333333,349,1209,D,W
2,3261,7,371,1210,W,D
2,3264,8,371,1210,W,W
2,3267,8,371,1211,W,D
2,3270,7,371,1211,W,W
2,3273,7.5,371,1212,W,D
2,3276,7.5,371,1212,W,W
2,3279,7,371,1213,D,D
2,3282,9,371,1213,D,W
2,3285,8.333333333,371,1214,D,D
2,3288,7,371,1214,D,W
2,3291,7.666666667,371,1215,D,D
2,3294,#DIV/0!,371,1215,D,W
2,3297,7,372,1216,W,D
2,3300,8,372,1216,W,W
2,3303,24,372,1217,W,D
2,3306,7,372,1217,W,W
2,3309,7,372,1218,W,D
2,3312,7.666666667,372,1218,W,W
2,3315,7,372,1219,D,D
2,3318,8,372,1219,D,W
2,3321,#DIV/0!,372,1220,D,D
2,3324,7,372,1220,D,W
2,3327,8.333333333,372,1221,D,D
2,3330,7.5,372,1221,D,W
2,3333,11,373,1222,W,D
2,3336,11,373,1222,W,W
2,3339,9,373,1223,W,D
2,3342,12.66666667,373,1223,W,W
2,3345,9,373,1224,W,D
2,3348,#DIV/0!,373,1224,W,W
2,3351,#DIV/0!,373,1225,D,D
2,3354,10,373,1225,D,W
2,3357,7.666666667,373,1226,D,D
2,3360,10.33333333,373,1226,D,W
2,3363,#DIV/0!,373,1227,D,D
2,3366,15,373,1227,D,W
2,3369,7,374,1228,W,D
2,3372,11,374,1228,W,W
2,3375,8,374,1229,W,D
2,3378,7,374,1229,W,W
2,3381,11.33333333,374,1230,W,D
2,3384,9,374,1230,W,W
2,3387,#DIV/0!,374,1231,D,D
2,3390,11.66666667,374,1231,D,W
2,3393,13,374,1232,D,D
2,3396,7,374,1232,D,W
2,3399,5.5,374,1233,D,D
2,3402,14.33333333,374,1233,D,W
2,3405,4,375,1234,W,D
2,3408,7,375,1234,W,W
2,3411,#DIV/0!,375,1235,W,D
2,3414,#DIV/0!,375,1235,W,W
2,3417,#DIV/0!,375,1236,W,D
2,3420,#DIV/0!,375,1236,W,W
2,3423,4,375,1237,D,D
2,3426,#DIV/0!,375,1237,D,W
2,3429,4,375,1238,D,D
2,3432,4,375,1238,D,W
2,3435,#DIV/0!,375,1239,D,D
2,3438,#DIV/0!,375,1239,D,W
1,2000,8,1,1000,W,D
1,2003,7.5,1,1000,W,W
1,2006,7.333333333,1,1001,W,D
1,2009,8.666666667,1,1001,W,W
1,2012,7.666666667,1,1002,W,D
1,2015,7.666666667,1,1002,W,W
1,2018,8,1,1003,D,D
1,2021,7.666666667,1,1003,D,W
1,2024,8,1,1004,D,D
1,2027,8.333333333,1,1004,D,W
1,2030,7.666666667,1,1005,D,D
1,2033,8,1,1005,D,W
1,2036,9.333333333,3,1006,W,D
1,2039,7,3,1006,W,W
1,2042,8,3,1007,W,D
1,2045,8,3,1007,W,W
1,2048,9.333333333,3,1008,W,D
1,2051,7.333333333,3,1008,W,W
1,2054,8,3,1009,D,D
1,2057,8,3,1009,D,W
1,2060,11.33333333,3,1010,D,D
1,2063,8.333333333,3,1010,D,W
1,2066,11.33333333,3,1011,D,D
1,2069,10.33333333,3,1011,D,W
1,2072,#DIV/0!,4,1012,W,D
1,2075,9.666666667,4,1012,W,W
1,2078,9,4,1013,W,D
1,2081,8.666666667,4,1013,W,W
1,2084,8.666666667,4,1014,W,D
1,2087,8,4,1014,W,W
1,2090,7,4,1015,D,D
1,2093,8,4,1015,D,W
1,2096,7.333333333,4,1016,D,D
1,2099,8.333333333,4,1016,D,W
1,2102,7.666666667,4,1017,D,D
1,2105,8.333333333,4,1017,D,W
1,2108,7.333333333,6,1018,W,D
1,2111,7,6,1018,W,W
1,2114,#DIV/0!,6,1019,W,D
1,2117,7.666666667,6,1019,W,W
1,2120,7.666666667,6,1020,W,D
1,2123,7,6,1020,W,W
1,2126,7.333333333,6,1021,D,D
1,2129,7.333333333,6,1021,D,W
1,2132,8,6,1022,D,D
1,2135,7.666666667,6,1022,D,W
1,2138,8,6,1023,D,D
1,2141,7.333333333,6,1023,D,W
1,2144,8,7,1024,W,D
1,2147,7,7,1024,W,W
1,2150,8,7,1025,W,D
1,2153,7.666666667,7,1025,W,W
1,2156,7.333333333,7,1026,W,D
1,2159,7.333333333,7,1026,W,W
1,2162,7.666666667,7,1027,D,D
1,2165,7,7,1027,D,W
1,2168,7.333333333,7,1028,D,D
1,2171,7,7,1028,D,W
1,2174,7.333333333,7,1029,D,D
1,2177,7.333333333,7,1029,D,W
1,2180,8,28,1030,W,D
1,2183,8,28,1030,W,W
1,2186,8,28,1031,W,D
1,2189,8,28,1031,W,W
1,2192,8.333333333,28,1032,W,D
1,2195,#DIV/0!,28,1032,W,W
1,2198,7,28,1033,D,D
1,2201,7.666666667,28,1033,D,W
1,2204,7.666666667,28,1034,D,D
1,2207,8.333333333,28,1034,D,W
1,2210,8,28,1035,D,D
1,2213,#DIV/0!,28,1035,D,W
1,2216,8,29,1036,W,D
1,2219,8,29,1036,W,W
1,2222,8.333333333,29,1037,W,D
1,2225,8,29,1037,W,W
1,2228,9,29,1038,W,D
1,2231,8,29,1038,W,W
1,2234,8,29,1039,D,D
1,2237,8.333333333,29,1039,D,W
1,2240,#DIV/0!,29,1040,D,D
1,2243,9.333333333,29,1040,D,W
1,2246,8,29,1041,D,D
1,2249,9,29,1041,D,W
1,2252,7.333333333,32,1042,W,D
1,2255,7,32,1042,W,W
1,2258,8.333333333,32,1043,W,D
1,2261,7,32,1043,W,W
1,2264,#DIV/0!,32,1044,W,D
1,2267,8.333333333,32,1044,W,W
1,2270,9,32,1045,D,D
1,2273,#DIV/0!,32,1045,D,W
1,2276,7.666666667,32,1046,D,D
1,2279,7,32,1046,D,W
1,2282,11,32,1047,D,D
1,2285,11,32,1047,D,W
1,2288,8,35,1048,W,D
1,2291,7,35,1048,W,W
1,2294,7.333333333,35,1049,W,D
1,2297,7,35,1049,W,W
1,2300,8,35,1050,W,D
1,2303,7.333333333,35,1050,W,W
1,2306,8.666666667,35,1051,D,D
1,2309,9.666666667,35,1051,D,W
1,2312,9.333333333,35,1052,D,D
1,2315,8,35,1052,D,W
1,2318,8.666666667,35,1053,D,D
1,2321,9.666666667,35,1053,D,W
1,2324,9.333333333,37,1054,W,D
1,2327,9,37,1054,W,W
1,2330,7.333333333,37,1055,W,D
1,2333,8.333333333,37,1055,W,W
1,2336,8.333333333,37,1056,W,D
1,2339,8,37,1056,W,W
1,2342,8,37,1057,D,D
1,2345,8.333333333,37,1057,D,W
1,2348,9,37,1058,D,D
1,2351,14,37,1058,D,W
1,2354,7.666666667,37,1059,D,D
1,2357,11,37,1059,D,W
1,2360,10.33333333,38,1060,W,D
1,2363,6.666666667,38,1060,W,W
1,2366,12.66666667,38,1061,W,D
1,2369,8,38,1061,W,W
1,2372,14.66666667,38,1062,W,D
1,2375,10.33333333,38,1062,W,W
1,2378,13.33333333,38,1063,D,D
1,2381,#DIV/0!,38,1063,D,W
1,2384,13.33333333,38,1064,D,D
1,2387,8,38,1064,D,W
1,2390,18,38,1065,D,D
1,2393,11.5,38,1065,D,W
1,2396,7.666666667,39A,1066,W,D
1,2399,7,39A,1066,W,W
1,2402,8,39A,1067,W,D
1,2405,8,39A,1067,W,W
1,2408,8.333333333,39A,1068,W,D
1,2411,8.666666667,39A,1068,W,W
1,2414,7,39A,1069,D,D
1,2417,10,39A,1069,D,W
1,2420,13,39A,1070,D,D
1,2423,10.33333333,39A,1070,D,W
1,2426,12.66666667,39A,1071,D,D
1,2429,8.5,39A,1071,D,W
1,2432,8,39B,1072,W,D
1,2435,9.333333333,39B,1072,W,W
1,2438,7.333333333,39B,1073,W,D
1,2441,9,39B,1073,W,W
1,2444,8.333333333,39B,1074,W,D
1,2447,8.666666667,39B,1074,W,W
1,2450,8.333333333,39B,1075,D,D
1,2453,10,39B,1075,D,W
1,2456,10.33333333,39B,1076,D,D
1,2459,14,39B,1076,D,W
1,2462,12,39B,1077,D,D
1,2465,9.666666667,39B,1077,D,W
1,2468,11,40,1078,W,D
1,2471,12.66666667,40,1078,W,W
1,2474,9,40,1079,W,D
1,2477,10.33333333,40,1079,W,W
1,2480,8.333333333,40,1080,W,D
1,2483,11.33333333,40,1080,W,W
1,2486,8.333333333,40,1081,D,D
1,2489,8.333333333,40,1081,D,W
1,2492,9,40,1082,D,D
1,2495,7.666666667,40,1082,D,W
1,2498,10.66666667,40,1083,D,D
1,2501,11,40,1083,D,W
1,2504,9.666666667,41,1084,W,D
1,2507,13.33333333,41,1084,W,W
1,2510,11.66666667,41,1085,W,D
1,2513,13,41,1085,W,W
1,2516,7.333333333,41,1086,W,D
1,2519,8.5,41,1086,W,W
1,2522,9.333333333,41,1087,D,D
1,2525,9.333333333,41,1087,D,W
1,2528,10,41,1088,D,D
1,2531,10.66666667,41,1088,D,W
1,2534,12.66666667,41,1089,D,D
1,2537,18.5,41,1089,D,W
1,2540,11,49,1090,W,D
1,2543,9,49,1090,W,W
1,2546,9,49,1091,W,D
1,2549,8.666666667,49,1091,W,W
1,2552,9,49,1092,W,D
1,2555,9,49,1092,W,W
1,2558,10.33333333,49,1093,D,D
1,2561,8.666666667,49,1093,D,W
1,2564,8.333333333,49,1094,D,D
1,2567,9.333333333,49,1094,D,W
1,2570,7.666666667,49,1095,D,D
1,2573,10.66666667,49,1095,D,W
1,2576,7.333333333,51,1096,W,D
1,2579,6.666666667,51,1096,W,W
1,2582,7,51,1097,W,D
1,2585,7.333333333,51,1097,W,W
1,2588,6.666666667,51,1098,W,D
1,2591,9,51,1098,W,W
1,2594,6.666666667,51,1099,D,D
1,2597,7.5,51,1099,D,W
1,2600,7.333333333,51,1100,D,D
1,2603,8,51,1100,D,W
1,2606,7.333333333,51,1101,D,D
1,2609,8.333333333,51,1101,D,W
1,2612,8.666666667,52,1102,W,D
1,2615,7.333333333,52,1102,W,W
1,2618,7,52,1103,W,D
1,2621,7.333333333,52,1103,W,W
1,2624,6.666666667,52,1104,W,D
1,2627,7,52,1104,W,W
1,2630,7,52,1105,D,D
1,2633,7.333333333,52,1105,D,W
1,2636,9,52,1106,D,D
1,2639,7,52,1106,D,W
1,2642,7.333333333,52,1107,D,D
1,2645,7.333333333,52,1107,D,W
1,2648,6.666666667,54,1108,W,D
1,2651,#DIV/0!,54,1108,W,W
1,2654,#DIV/0!,54,1109,W,D
1,2657,#DIV/0!,54,1109,W,W
1,2660,7,54,1110,W,D
1,2663,7.666666667,54,1110,W,W
1,2666,7.666666667,54,1111,D,D
1,2669,7.666666667,54,1111,D,W
1,2672,9,54,1112,D,D
1,2675,7,54,1112,D,W
1,2678,7.666666667,54,1113,D,D
1,2681,#DIV/0!,54,1113,D,W
1,2684,#DIV/0!,57,1114,W,D
1,2687,#DIV/0!,57,1114,W,W
1,2690,7.333333333,57,1115,W,D
1,2693,#DIV/0!,57,1115,W,W
1,2696,7.333333333,57,1116,W,D
1,2699,7,57,1116,W,W
1,2702,8.666666667,57,1117,D,D
1,2705,8,57,1117,D,W
1,2708,8.666666667,57,1118,D,D
1,2711,#DIV/0!,57,1118,D,W
1,2714,12.66666667,57,1119,D,D
1,2717,10.33333333,57,1119,D,W
1,2720,13.5,148,1120,W,D
1,2723,14,148,1120,W,W
1,2726,12.33333333,148,1121,W,D
1,2729,15.33333333,148,1121,W,W
1,2732,15,148,1122,W,D
1,2735,17.66666667,148,1122,W,W
1,2738,9.333333333,148,1123,D,D
1,2741,20,148,1123,D,W
1,2744,12,148,1124,D,D
1,2747,12.66666667,148,1124,D,W
1,2750,12,148,1125,D,D
1,2753,18.5,148,1125,D,W
1,2756,8.666666667,152,1126,W,D
1,2759,9,152,1126,W,W
1,2762,9.333333333,152,1127,W,D
1,2765,9.333333333,152,1127,W,W
1,2768,8.333333333,152,1128,W,D
1,2771,8,152,1128,W,W
1,2774,13.5,152,1129,D,D
1,2777,11.33333333,152,1129,D,W
1,2780,8,152,1130,D,D
1,2783,8.666666667,152,1130,D,W
1,2786,8.666666667,152,1131,D,D
1,2789,8.333333333,152,1131,D,W
1,2792,11,153,1132,W,D
1,2795,9,153,1132,W,W
1,2798,10,153,1133,W,D
1,2801,9.333333333,153,1133,W,W
1,2804,10,153,1134,W,D
1,2807,10.33333333,153,1134,W,W
1,2810,12.66666667,153,1135,D,D
1,2813,15.33333333,153,1135,D,W
1,2816,13,153,1136,D,D
