Trait,ES,Factor
Germ,0.14443828,Year
SLA,0.186505834,Year
Leaf #,0,Year
Diameter,0,Year
Flowering,0.127654503,Year
Flower #,0.016550065,Year
Biomass,0,Year
Root,0,Year
Germ,0.008731485,TRTHIS
SLA,0.000255039,TRTHIS
Leaf #,0.017974523,TRTHIS
Diameter,0.015880711,TRTHIS
Flowering,0.008423573,TRTHIS
Flower #,0,TRTHIS
Biomass,0,TRTHIS
Root,0,TRTHIS
Height,0.009,Year
Height,0.045,TRTHIS
