Generation,Timeline,Parental,ID,Placement,Tray,Treatment,Viable,Aborted,Percent_viable,,,,,,
S1,170,W,1169,13,7,dry,287,13,0.9566666667,,,,,,
S1,372,D,1220,14,7,dry,293,52,0.8492753623,,,,,,
S1,40,D,1082,15,7,dry,296,5,0.9833887043,,,,,,
S1,1,W,1001,16,7,dry,159,163,0.4937888199,,,,,,
S1,32,W,1042,17,7,dry,200,97,0.6734006734,,,,,,
S1,349,W,1206,18,7,dry,324,19,0.944606414,,,,,,
S1,52,D,1106,1,8,dry,248,65,0.7923322684,,,,,,
S1,166,W,1156,2,8,dry,372,53,0.8752941176,,,,,,
S1,372,D,1221,3,8,dry,304,28,0.9156626506,,,,,,
S1,153,D,1137,4,8,dry,338,21,0.9415041783,,,,,,
S1,4,W,1012,5,8,dry,86,257,0.250728863,,,,,,
S1,32,D,1046,6,8,dry,367,15,0.9607329843,,,,,,
S1,153,D,1135,7,8,dry,297,16,0.9488817891,,,,,,
S1,154,W,1140,8,8,dry,268,116,0.6979166667,,,,,,
S1,153,W,1132,9,8,dry,303,22,0.9323076923,,,,,,
S1,152,D,1129,10,8,dry,291,24,0.9238095238,,,,,,
S1,57,W,1116,11,8,dry,301,51,0.8551136364,,,,,,
S1,154,D,1142,12,8,dry,345,100,0.7752808989,,,,,,
S1,52,W,1102,13,8,dry,304,18,0.9440993789,292,20,,,,
S1,39A,W,1067,14,8,dry,262,39,0.8704318937,,,,,,
S1,342,D,1184,15,8,dry,,,#DIV/0!,,,,,,
S1,170,W,1170,16,8,dry,328,12,0.9647058824,309,27,,,,
S1,6,W,1018,17,8,dry,275,34,0.8899676375,,,,,,
S1,167,D,1166,18,8,dry,323,21,0.9389534884,,,,,,
S1,4,D,1016,1,9,dry,282,18,0.94,,,,,,
S1,28,W,1031,2,9,dry,284,33,0.8958990536,,,,,,
S1,1,W,1000,3,9,dry,287,32,0.8996865204,,,,,,
S1,39B,W,1072,4,9,dry,317,20,0.940652819,,,,,,
S1,40,D,1081,5,9,dry,294,13,0.9576547231,,,,,,
S1,3,D,1009,6,9,dry,336,3,0.9911504425,,,,,,
S1,343,W,1186,7,9,dry,283,16,0.9464882943,,,,,,
S1,373,W,1222,8,9,dry,302,17,0.9467084639,,,,,,
S1,343,D,1191,9,9,dry,327,8,0.976119403,284,28,,,,
S1,28,D,1033,10,9,dry,298,17,0.946031746,,,,,,
S1,373,D,1226,11,9,dry,252,50,0.8344370861,,,,,,
S1,28,D,1035,12,9,dry,276,35,0.8874598071,,,,,,
S1,164,D,1153,13,9,dry,295,44,0.8702064897,,,,,,
S1,344,D,1195,14,9,dry,290,7,0.9764309764,282,17,,,,
S1,342,D,1185,15,9,dry,296,41,0.8783382789,,,,,,
S1,41,W,1084,16,9,dry,287,20,0.9348534202,,,,,,
S1,35,D,1051,17,9,dry,246,60,0.8039215686,,,,,,
S1,342,W,1182,18,9,dry,,,#DIV/0!,,,,,,
