"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"Region",0.0720074247817935,0.0720074247817935,1,1.98206447897048,0.00100790818895916,0.977579814003163
"TRTHIS",1116.25579540366,372.085265134552,3,808.942262354813,5.20818216811133,0.00144569165394728
"Treatment",4820.14885111872,4820.14885111872,1,807.224427886782,67.468979952648,8.47098363153926e-16
"Region:TRTHIS",133.068044309766,44.3560147699219,3,808.945162481459,0.620863621378964,0.601622912544618
"Region:Treatment",91.8690855425253,91.8690855425253,1,807.193707818475,1.28591744408436,0.257138339813037
"TRTHIS:Treatment",13.282332220559,4.42744407351968,3,807.069748730088,0.0619721806658397,0.97981548791272
"Region:TRTHIS:Treatment",73.8961596936622,24.6320532312207,3,807.069207435453,0.344781781015762,0.792947575228914
