Generation,Treatment,Name,Site,Region,Year,PrePeak,Timeline,ww,dw,sa,SLA
S0,wet,Sweetwater,S02,South,2010,Pre,7,0.249,0.03,12.119,403.9666667
S0,wet,Sweetwater,S02,South,2010,Pre,4,0.345,0.051,15.732,308.4705882
S0,wet,Sweetwater,S02,South,2010,Pre,3,0.364,0.042,18.567,442.0714286
S0,wet,Sweetwater,S02,South,2010,Pre,6,0.482,0.063,22.988,364.8888889
S0,wet,Sweetwater,S02,South,2010,Pre,1,0.5,0.064,24.4,381.25
S0,dry,Sweetwater,S02,South,2010,Pre,7,0.289,0.038,12.126,319.1052632
S0,dry,Sweetwater,S02,South,2010,Pre,4,0.242,0.031,11.379,367.0645161
S0,dry,Sweetwater,S02,South,2010,Pre,3,0.349,0.048,17.575,366.1458333
S0,dry,Sweetwater,S02,South,2010,Pre,6,0.578,0.072,19.33,268.4722222
S0,dry,Sweetwater,S02,South,2010,Pre,1,0.177,0.021,7.313,348.2380952
S0,wet,West Fork,S07,South,2010,Pre,41,0.574,0.068,20.211,297.2205882
S0,wet,West Fork,S07,South,2010,Pre,39A,0.265,0.042,10.902,259.5714286
S0,wet,West Fork,S07,South,2010,Pre,40,0.413,0.054,16.668,308.6666667
S0,wet,West Fork,S07,South,2010,Pre,38,0.546,0.071,19.615,276.2676056
S0,wet,West Fork,S07,South,2010,Pre,39B,0.468,0.05,16.044,320.88
S0,dry,West Fork,S07,South,2010,Pre,41,0.313,0.043,11.875,276.1627907
S0,dry,West Fork,S07,South,2010,Pre,39A,0.173,0.019,5.893,310.1578947
S0,dry,West Fork,S07,South,2010,Pre,40,0.228,0.03,8.406,280.2
S0,dry,West Fork,S07,South,2010,Pre,38,0.318,0.039,11.742,301.0769231
S0,dry,West Fork,S07,South,2010,Pre,39B,0.318,0.034,10.398,305.8235294
S0,wet,Rock Creek,S15,North,2010,Pre,155,0.471,0.05,22.619,452.38
S0,wet,Rock Creek,S15,North,2010,Pre,148,0.405,0.032,22.291,696.59375
S0,wet,Rock Creek,S15,North,2010,Pre,154,0.418,0.052,15.889,305.5576923
S0,wet,Rock Creek,S15,North,2010,Pre,152,0.243,0.031,10.73,346.1290323
S0,wet,Rock Creek,S15,North,2010,Pre,153,0.482,0.06,18.528,308.8
S0,dry,Rock Creek,S15,North,2010,Pre,155,0.121,0.023,6.054,263.2173913
S0,dry,Rock Creek,S15,North,2010,Pre,148,0.504,0.071,18.641,262.5492958
S0,dry,Rock Creek,S15,North,2010,Pre,154,0.246,0.034,10.022,294.7647059
S0,dry,Rock Creek,S15,North,2010,Pre,152,0.166,0.029,7.043,242.862069
S0,dry,Rock Creek,S15,North,2010,Pre,153,0.381,0.04,12.676,316.9
S0,wet,Deer Creek,S36,North,2011,Pre,342,,,,#DIV/0!
