Treatment,ID,ww,sa,dw,wc,sla,,,,
Dry,3002,0.27,9.85,0.041,0.229,240.2439024,,,,
Wet,3002,0.2,7.541,0.032,0.168,235.65625,,,,
Dry,3005,0.18,6.788,0.03,0.15,226.2666667,,,,
Wet,3005,0.37,13.307,0.06,0.31,221.7833333,,,,
Dry,3008,0.21,7.864,0.038,0.172,206.9473684,,,,
Wet,3008,0.11,4.331,0.024,0.086,180.4583333,,,,
Dry,3011,0.09,3.182,0.017,0.073,187.1764706,,,,
Wet,3011,0.1309,4.485,0.024,0.1069,186.875,,,,
Dry,3014,0.19,7.784,0.032,0.158,243.25,,,,
Wet,3014,0.14,5.89,0.034,0.106,173.2352941,,,,
Dry,3017,0.11,4.752,0.024,0.086,198,,,,
Wet,3017,0.13,5.076,0.26,-0.13,19.52307692,,,,
Dry,3020,0.1,4.024,0.023,0.077,174.9565217,,,,
Wet,3020,,,,0,#DIV/0!,,,,
Dry,3023,0.14,5.443,0.027,0.113,201.5925926,,,,
Wet,3023,0.24,6.686,0.044,0.196,151.9545455,,,,
Dry,3026,0.12,5.107,0.024,0.096,212.7916667,,,,
Wet,3026,0.18,7.632,0.026,0.154,293.5384615,,,,
Dry,3029,0.1,3.359,0.019,0.081,176.7894737,,,,
Wet,3029,0.14,5.461,0.027,0.113,202.2592593,,,,
Dry,3032,0.08,4.748,0.013,0.067,365.2307692,,,,
Wet,3032,0.14,5.107,0.038,0.102,134.3947368,,,,
Dry,3035,0.09,2.881,0.013,0.077,221.6153846,,,,
Wet,3035,0.16,6.427,0.028,0.132,229.5357143,,,,
Dry,3038,0.04,2.585,0.01,0.03,258.5,,,,
Wet,3038,0.11,4.918,0.018,0.092,273.2222222,,,,
Dry,3041,0.09,2.59,0.017,0.073,152.3529412,,,,
Wet,3041,0.2,7.251,0.038,0.162,190.8157895,,,,
Dry,3044,0.11,5.24,0.023,0.087,227.826087,,,,
Wet,3044,,,,0,#DIV/0!,,,,
Dry,3047,0.14,5.842,0.025,0.115,233.68,,,,
Wet,3047,0.15,5.469,0.024,0.126,227.875,,,,
Dry,3050,0.06,2.374,0.009,0.051,263.7777778,,,,
Wet,3050,,,,0,#DIV/0!,,,,
Dry,3053,0.06,2.052,0.13,-0.07,15.78461538,,,,
Wet,3053,0.09,3.34,0.016,0.074,208.75,,,,
Dry,3056,0.09,3.458,0.019,0.071,182,,,,
Wet,3056,,,,0,#DIV/0!,,,,
Dry,3059,,,,0,#DIV/0!,,,,
Wet,3059,,,,0,#DIV/0!,,,,
Dry,3062,0.13,4.807,0.019,0.111,253,,,,
Wet,3062,0.26,10.59,0.04,0.22,264.75,,,,
Dry,3065,0.15,6.027,0.031,0.119,194.4193548,,,,
Wet,3065,0.13,5.42,0.023,0.107,235.6521739,,,,
Dry,3068,0.14,8.406,0.036,0.104,233.5,,,,
Wet,3068,0.19,7.771,0.036,0.154,215.8611111,,,,
Dry,3071,0.2,7.624,0.027,0.173,282.3703704,,,,
Wet,3071,0.331,12.118,0.043,0.288,281.8139535,,,,
Dry,3074,0.13,4.993,0.035,0.095,142.6571429,,,,
Wet,3074,0.301,13.564,0.052,0.249,260.8461538,,,,
Dry,3077,0.16,5.815,0.031,0.129,187.5806452,,,,
Wet,3077,0.15,6.194,0.02,0.13,309.7,,,,
Dry,3080,,,,0,#DIV/0!,,,,
Wet,3080,0.23,9.711,0.043,0.187,225.8372093,,,,
Dry,3083,0.09,2.491,0.019,0.071,131.1052632,,,,
Wet,3083,,,,0,#DIV/0!,,,,
Dry,3086,,,,0,#DIV/0!,,,,
Wet,3086,,,,0,#DIV/0!,,,,
Dry,3089,,,,0,#DIV/0!,,,,
Wet,3089,,,,0,#DIV/0!,,,,
Dry,3092,,,,0,#DIV/0!,,,,
Wet,3092,,,,0,#DIV/0!,,,,
Dry,3095,,,,0,#DIV/0!,,,,
Wet,3095,,,,0,#DIV/0!,,,,
Dry,3098,,,,0,#DIV/0!,,,,
Wet,3098,,,,0,#DIV/0!,,,,
Dry,3101,0.18,7.26,0.033,0.147,220,,,,
Wet,3101,0.19,8.682,0.045,0.145,192.9333333,,,,
Dry,3104,0.22,8.736,0.042,0.178,208,,,,
Wet,3104,0.25,9.361,0.045,0.205,208.0222222,,,,
Dry,3107,0.15,5.612,0.029,0.121,193.5172414,,,,
Wet,3107,0.22,8.847,0.04,0.18,221.175,,,,
Dry,3110,0.3,11.596,0.045,0.255,257.6888889,,,,
Wet,3110,0.22,9.54,0.042,0.178,227.1428571,,,,
Dry,3113,0.1,4.817,0.02,0.08,240.85,,,,
Wet,3113,0.15,6.688,0.031,0.119,215.7419355,,,,
Dry,3116,0.08,1.56,0.009,0.071,173.3333333,,,,
Wet,3116,0.29,10.737,0.045,0.245,238.6,,,,
Dry,3119,0.06,2.809,0.022,0.038,127.6818182,,,,
Wet,3119,0.1,4.744,0.023,0.077,206.2608696,,,,
Dry,3122,0.1,3.607,0.017,0.083,212.1764706,,,,
Wet,3122,0.18,6.974,0.03,0.15,232.4666667,,,,
Dry,3125,0.25,10.91,0.05,0.2,218.2,,,,
Wet,3125,0.39,17.72,0.067,0.323,264.4776119,,,,
Dry,3128,0.15,6.001,0.026,0.124,230.8076923,,,,
Wet,3128,0.28,14.298,0.056,0.224,255.3214286,,,,
Dry,3131,0.21,7.866,0.037,0.173,212.5945946,,,,
Wet,3131,,,,0,#DIV/0!,,,,
Dry,3134,0.08,3.783,0.016,0.064,236.4375,,,,
Wet,3134,0.33,13.97,0.068,0.262,205.4411765,,,,
Dry,3137,0.2,9.359,0.035,0.165,267.4,,,,
Wet,3137,0.29,14.262,0.049,0.241,291.0612245,,,,
Dry,3140,0.11,5.137,0.019,0.091,270.3684211,,,,
Wet,3140,0.13,5.439,0.019,0.111,286.2631579,,,,
Dry,3143,,,,0,#DIV/0!,,,,
Wet,3143,0.15,5.531,0.021,0.129,263.3809524,,,,
Dry,3146,0.14,5.943,0.031,0.109,191.7096774,,,,
Wet,3146,0.17,7.23,0.02,0.15,361.5,,,,
Dry,3149,,,,0,#DIV/0!,,,,
Wet,3149,,,,0,#DIV/0!,,,,
Dry,3152,,,,0,#DIV/0!,,,,
Wet,3152,0.36,12.578,0.04,0.32,314.45,,,,
Dry,3155,,,,0,#DIV/0!,,,,
Wet,3155,,,,0,#DIV/0!,,,,
Dry,3158,0.1,3.21,0.023,0.077,139.5652174,,,,
Wet,3158,,,,0,#DIV/0!,,,,
Dry,3161,0.1,4.034,0.024,0.076,168.0833333,,,,
Wet,3161,,,,0,#DIV/0!,,,,
Dry,3164,,,,0,#DIV/0!,,,,
Wet,3164,,,,0,#DIV/0!,,,,
Dry,3167,,,,0,#DIV/0!,,,,
Wet,3167,,,,0,#DIV/0!,,,,
Dry,3170,0.13,5.973,0.029,0.101,205.9655172,,,,
Wet,3170,0.17,7.025,0.03,0.14,234.1666667,,,,
Dry,3173,0.44,18.442,0.078,0.362,236.4358974,,,,
Wet,3173,0.12,4.718,0.025,0.095,188.72,,,,
Dry,3176,,,,0,#DIV/0!,,,,
Wet,3176,0.22,8.22,0.042,0.178,195.7142857,,,,
Dry,3179,,,,0,#DIV/0!,,,,
Wet,3179,,,,0,#DIV/0!,,,,
Dry,3182,0.19,7.736,0.025,0.165,309.44,,,,
Wet,3182,0.13,5.851,0.031,0.099,188.7419355,,,,
Dry,3185,0.1,4.184,0.01,0.09,418.4,,,,
Wet,3185,0.18,7.696,0.039,0.141,197.3333333,,,,
Dry,3188,,,,0,#DIV/0!,,,,
Wet,3188,0.21,8.76,0.055,0.155,159.2727273,,,,
Dry,3191,0.16,6.023,0.047,0.113,128.1489362,,,,
Wet,3191,0.15,6.058,0.02,0.13,302.9,,,,
Dry,3194,0.12,5.306,0.028,0.092,189.5,,,,
Wet,3194,0.16,6.01,0.035,0.125,171.7142857,,,,
Dry,3197,0.05,3.242,0.017,0.033,190.7058824,,,,
Wet,3197,0.13,7.083,0.042,0.088,168.6428571,,,,
Dry,3200,0.13,6.146,0.036,0.094,170.7222222,,,,
Wet,3200,0.18,8.101,0.046,0.134,176.1086957,,,,
Dry,3203,,,,0,#DIV/0!,,,,
Wet,3203,0.22,7.136,0.039,0.181,182.974359,,,,
Dry,3206,,,,0,#DIV/0!,,,,
Wet,3206,,,,0,#DIV/0!,,,,
Dry,3209,0.04,1.687,0.005,0.035,337.4,,,,
Wet,3209,0.16,6.88,0.025,0.135,275.2,,,,
Dry,3212,,,,0,#DIV/0!,,,,
Wet,3212,,,,0,#DIV/0!,,,,
Dry,3215,0.08,3.061,0.013,0.067,235.4615385,,,,
Wet,3215,0.15,5.81,0.016,0.134,363.125,,,,
Dry,3218,0.2,8.693,0.042,0.158,206.9761905,,,,
Wet,3218,,,,0,#DIV/0!,,,,
Dry,3221,0.1,4.213,0.024,0.076,175.5416667,,,,
Wet,3221,0.07,4.428,0.016,0.054,276.75,,,,
Dry,3224,0.14,4.581,0.024,0.116,190.875,,,,
Wet,3224,0.14,5.095,0.025,0.115,203.8,,,,
Dry,3227,0.09,3.993,0.017,0.073,234.8823529,,,,
Wet,3227,,,,0,#DIV/0!,,,,
Dry,3230,0.1,3.328,0.018,0.082,184.8888889,,,,
Wet,3230,0.19,7.907,0.036,0.154,219.6388889,,,,
Dry,3233,0.08,3.363,0.02,0.06,168.15,,,,
Wet,3233,0.12,4.69,0.01,0.11,469,,,,
Dry,3236,0.12,5.18,0.026,0.094,199.2307692,,,,
Wet,3236,,,,0,#DIV/0!,,,,
Dry,3239,0.07,3.081,0.012,0.058,256.75,,,,
Wet,3239,,,,0,#DIV/0!,,,,
Dry,3242,0.06,3.369,0.016,0.044,210.5625,,,,
Wet,3242,0.14,6.516,0.033,0.107,197.4545455,,,,
Dry,3245,0.14,5.375,0.032,0.108,167.96875,,,,
Wet,3245,0.15,6.195,0.036,0.114,172.0833333,,,,
Dry,3248,0.11,3.991,0.022,0.088,181.4090909,,,,
Wet,3248,0.18,7.962,0.035,0.145,227.4857143,,,,
Dry,3251,,,,0,#DIV/0!,,,,
Wet,3251,,,,0,#DIV/0!,,,,
Dry,3254,0.14,5.418,0.024,0.116,225.75,,,,
Wet,3254,0.17,6.183,0.033,0.137,187.3636364,,,,
Dry,3257,0.16,5,0.026,0.134,192.3076923,,,,
Wet,3257,0.11,4.954,0.022,0.088,225.1818182,,,,
Dry,3260,,,,0,#DIV/0!,,,,
Wet,3260,,,,0,#DIV/0!,,,,
Dry,3263,0.04,2.041,0.006,0.034,340.1666667,,,,
Wet,3263,0.15,6.664,0.033,0.117,201.9393939,,,,
Dry,3266,0.1,4.541,0.027,0.073,168.1851852,,,,
Wet,3266,0.22,9.824,0.045,0.175,218.3111111,,,,
Dry,3269,0.09,3.421,0.018,0.072,190.0555556,,,,
Wet,3269,,,,0,#DIV/0!,,,,
Dry,3272,0.16,6.288,0.031,0.129,202.8387097,,,,
Wet,3272,0.1,5.638,0.028,0.072,201.3571429,,,,
Dry,3275,,,,0,#DIV/0!,,,,
Wet,3275,0.14,5.313,0.021,0.119,253,,,,
Dry,3278,0.16,7.013,0.033,0.127,212.5151515,,,,
Wet,3278,0.21,5.605,0.035,0.175,160.1428571,,,,
Dry,3281,0.14,6.049,0.023,0.117,263,,,,
Wet,3281,0.14,5.399,0.025,0.115,215.96,,,,
Dry,3284,0.15,6.472,0.015,0.135,431.4666667,,,,
Wet,3284,0.27,9.825,0.039,0.231,251.9230769,,,,
Dry,3287,0.11,4.692,0.021,0.089,223.4285714,,,,
Wet,3287,,,,0,#DIV/0!,,,,
Dry,3290,0.08,3.821,0.013,0.067,293.9230769,,,,
Wet,3290,0.15,6.6,0.032,0.118,206.25,,,,
Dry,3293,0.12,5.613,0.028,0.092,200.4642857,,,,
Wet,3293,0.26,11.061,0.045,0.215,245.8,,,,
Dry,3296,0.12,5.462,0.021,0.099,260.0952381,,,,
Wet,3296,0.14,5.181,0.01,0.13,518.1,,,,
Dry,3299,0.1,4.509,0.021,0.079,214.7142857,,,,
Wet,3299,,,,0,#DIV/0!,,,,
Dry,3302,0.09,3.843,0.019,0.071,202.2631579,,,,
Wet,3302,0.1,3.638,0.02,0.08,181.9,,,,
Dry,3305,0.19,8.766,0.042,0.148,208.7142857,,,,
Wet,3305,,,,0,#DIV/0!,,,,
Dry,3308,0.12,4.831,0.021,0.099,230.047619,,,,
Wet,3308,,,,0,#DIV/0!,,,,
Dry,3311,0.11,4.707,0.024,0.086,196.125,,,,
Wet,3311,0.16,8.068,0.034,0.126,237.2941176,,,,
Dry,3314,0.09,3.5,0.016,0.074,218.75,,,,
Wet,3314,0.14,5.804,0.01,0.13,580.4,,,,
Dry,3317,,,,0,#DIV/0!,,,,
Wet,3317,0.13,5.506,0.022,0.108,250.2727273,,,,
Dry,3320,0.06,2.581,0.071,-0.011,36.35211268,,,,
Wet,3320,0.1,4.091,0.021,0.079,194.8095238,,,,
Dry,3323,0.08,3.756,0.014,0.066,268.2857143,,,,
Wet,3323,,,,0,#DIV/0!,,,,
Dry,3326,0.08,4.516,0.017,0.063,265.6470588,,,,
Wet,3326,0.12,6.06,0.023,0.097,263.4782609,,,,
Dry,3329,0.04,2.271,0.01,0.03,227.1,,,,
Wet,3329,0.12,5.215,0.025,0.095,208.6,,,,
Dry,3332,,,,0,#DIV/0!,,,,
Wet,3332,,,,0,#DIV/0!,,,,
Dry,3335,0.11,4.701,0.018,0.092,261.1666667,,,,
Wet,3335,0.12,5.504,0.024,0.096,229.3333333,written accidentally as: ,3355,,
Dry,3338,,,,0,#DIV/0!,,,,
Wet,3338,,,,0,#DIV/0!,,,,
Dry,3341,0.24,9.857,0.036,0.204,273.8055556,,,,
Wet,3341,0.2,7.46,0.03,0.17,248.6666667,,,,
Dry,3344,0.13,4.167,0.018,0.112,231.5,,,,
Wet,3344,0.18,7.13,0.032,0.148,222.8125,,,,
Dry,3347,,,,0,#DIV/0!,,,,
Wet,3347,,,,0,#DIV/0!,,,,
Dry,3350,0.22,8.404,0.034,0.186,247.1764706,,,,
Wet,3350,0.09,3.321,0.019,0.071,174.7894737,,,,
Dry,3353,0.23,8.207,0.042,0.188,195.4047619,,,,
Wet,3353,0.28,9.158,0.046,0.234,199.0869565,,,,
Dry,3356,0.12,4.957,0.025,0.095,198.28,,,,
Wet,3356,0.28,10.147,0.03,0.25,338.2333333,,,,
Dry,3359,0.09,3.735,0.017,0.073,219.7058824,,,,
Wet,3359,0.68,24,0.105,0.575,228.5714286,,,,
Dry,3362,0.28,10.094,0.043,0.237,234.744186,,,,
Wet,3362,0.23,10.51,0.047,0.183,223.6170213,,,,
Dry,3365,,,,0,#DIV/0!,,,,
Wet,3365,,,,0,#DIV/0!,,,,
Dry,3368,0.05,1.912,0.008,0.042,239,,,,
Wet,3368,0.11,4.17,0.027,0.083,154.4444444,,,,
Dry,3371,0.08,3.12,0.018,0.062,173.3333333,,,,
Wet,3371,,,,0,#DIV/0!,,,,
Dry,3374,0.13,5.268,0.046,0.084,114.5217391,,,,
Wet,3374,0.21,7.795,0.037,0.173,210.6756757,,,,
Dry,3377,0.11,5.048,0.029,0.081,174.0689655,,,,
Wet,3377,0.1,3.762,0.028,0.072,134.3571429,,,,
Dry,3380,0.1,3.823,0.016,0.084,238.9375,,,,
Wet,3380,0.12,5.334,0.028,0.092,190.5,,,,
Dry,3383,0.07,2.997,0.014,0.056,214.0714286,,,,
Wet,3383,0.11,4.924,0.021,0.089,234.4761905,,,,
Dry,3386,0.15,5.724,0.022,0.128,260.1818182,,,,
Wet,3386,,,,0,#DIV/0!,,,,
Dry,3389,,,,0,#DIV/0!,,,,
Wet,3389,,,,0,#DIV/0!,,,,
Dry,3392,0.08,2.47,0.016,0.064,154.375,,,,
Wet,3392,,,,0,#DIV/0!,,,,
Dry,3395,0.09,3.38,0.018,0.072,187.7777778,,,,
Wet,3395,0.21,8.951,0.042,0.168,213.1190476,,,,
Dry,3398,,,,0,#DIV/0!,,,,
Wet,3398,,,,0,#DIV/0!,,,,
Dry,3401,0.12,4.406,0.026,0.094,169.4615385,,,,
Wet,3401,,,,0,#DIV/0!,,,,
Dry,3404,0.18,6.71,0.037,0.143,181.3513514,,,,
Wet,3404,,,,0,#DIV/0!,,,,
Dry,3407,0.04,1.51,0.01,0.03,151,,,,
Wet,3407,0.08,3.5,0.015,0.065,233.3333333,,,,
Dry,3410,0.1,2.539,0.02,0.08,126.95,,,,
Wet,3410,0.17,6.366,0.027,0.143,235.7777778,,,,
Dry,3413,,,,0,#DIV/0!,,,,
Wet,3413,0.15,5.889,0.03,0.12,196.3,,,,
Dry,3416,0.1,4.588,0.026,0.074,176.4615385,,,,
Wet,3416,0.29,11.683,0.046,0.244,253.9782609,,,,
Dry,3419,,,,0,#DIV/0!,,,,
Wet,3419,,,,0,#DIV/0!,,,,
Dry,3422,0.08,3.218,0.011,0.069,292.5454545,,,,
Wet,3422,0.23,9.433,0.059,0.171,159.8813559,,,,
Dry,3425,0.09,3.672,0.017,0.073,216,,,,
Wet,3425,0.2,9.268,0.043,0.157,215.5348837,,,,
Dry,3428,0.1,4.004,0.024,0.076,166.8333333,,,,
Wet,3428,0.1,5.023,0.024,0.076,209.2916667,,,,
Dry,3431,0.25,9.955,0.043,0.207,231.5116279,,,,
Wet,3431,0.13,5.962,0.036,0.094,165.6111111,,,,
Dry,3434,0.05,1.872,0.005,0.045,374.4,,,,
Wet,3434,0.13,5.118,0.016,0.114,319.875,,,,
Dry,3437,0.16,6.849,0.032,0.128,214.03125,,,,
Wet,3437,0.14,6.206,0.026,0.114,238.6923077,,,,
