Treatment,ID,ww,sa,dw,wc,sla,,,,
Wet,2600,0.18,6.565,0.03,0.15,218.8333333,,,,
Dry,2603,0.12,5.129,0.026,0.094,197.2692308,,,,
Wet,2603,0.12,4.287,0.021,0.099,204.1428571,,,,
Dry,2606,0.08,2.141,0.011,0.069,194.6363636,,,,
Wet,2606,0.17,5.413,0.032,0.138,169.15625,,,,
Dry,2609,0.06,2.522,0.018,0.042,140.1111111,,,,
Wet,2609,0.41,13.833,0.074,0.336,186.9324324,,,,
Dry,2612,0.1,3.223,0.013,0.087,247.9230769,,,,
Wet,2612,0.16,5.188,0.025,0.135,207.52,,,,
Dry,2615,0.08,3.007,0.016,0.064,187.9375,,,,
Wet,2615,0.16,5.224,0.033,0.127,158.3030303,,,,
Dry,2618,0.11,4.306,0.024,0.086,179.4166667,,,,
Wet,2618,0.2,7.104,0.039,0.161,182.1538462,,,,
Dry,2621,0.08,2.913,0.018,0.062,161.8333333,,,,
Wet,2621,0.38,12.883,0.057,0.323,226.0175439,,,,
Dry,2624,0.09,3.335,0.032,0.058,104.21875,,,,
Wet,2624,0.2,8.699,0.043,0.157,202.3023256,,,,
Dry,2627,0.07,2.3,0.009,0.061,255.5555556,,,,
Wet,2627,0.19,2.874,0.039,0.151,73.69230769,,,,
Dry,2630,0.07,2.863,0.011,0.059,260.2727273,,,,
Wet,2630,0.14,5.201,0.02,0.12,260.05,,,,
Dry,2633,0.05,1.427,0.009,0.041,158.5555556,,,,
Wet,2633,,,,0,#DIV/0!,,,,
Dry,2636,0.19,6.523,0.032,0.158,203.84375,,,,
Wet,2636,0.2,6.763,0.035,0.165,193.2285714,,,,
Dry,2639,0.05,2.064,0.008,0.042,258,,,,
Wet,2639,,,,0,#DIV/0!,,,,
Dry,2642,0.11,3.901,0.024,0.086,162.5416667,,,,
Wet,2642,0.2,7.446,0.034,0.166,219,,,,
Dry,2645,0.1,3.597,0.027,0.073,133.2222222,,,,
Wet,2645,0.13,4.69,0.028,0.102,167.5,,,,
Dry,2648,0.18,6.8,0.04,0.14,170,,,,
Wet,2648,0.23,8.974,0.051,0.179,175.9607843,,,,
Dry,2651,,,,0,#DIV/0!,,,,
Wet,2651,,,,0,#DIV/0!,,,,
Dry,2654,,,,0,#DIV/0!,,,,
Wet,2654,,,,0,#DIV/0!,,,,
Dry,2657,,,,0,#DIV/0!,,,,
Wet,2657,,,,0,#DIV/0!,,,,
Dry,2660,0.11,4.86,0.028,0.082,173.5714286,,,,
Wet,2660,0.34,13.059,0.07,0.27,186.5571429,,,,
Dry,2663,0.18,6.478,0.035,0.145,185.0857143,,,,
Wet,2663,0.3,12.221,0.068,0.232,179.7205882,,,,
Dry,2666,0.09,3.765,0.017,0.073,221.4705882,,,,
Wet,2666,0.28,10.384,0.55,-0.27,18.88,,,,
Dry,2669,0.17,5.844,0.038,0.132,153.7894737,,,,
Wet,2669,,,,0,#DIV/0!,,,,
