"","ID","Treatment","Tray","Placement","Flowering_date","avg_germ","FT","Sow_date","FD","days_to_germ","Rep","S0_ID","Name","Site","Year","Generation","Region","PrePeak","S1_ID","S0_trt","S1_trt","TRTHIS"
"38",2027,"Wet",22,5,"Oct-31","Aug-23","69","Aug-15","77","8.333333333","1","1","Sweetwater","S02",2010,"S0","South","Pre",1004,"D","W","DW"
"39",2028,"Dry",9,9,"11-Jan","05-Nov","67","29-Oct","74","7.333333333","2","1","Sweetwater","S02",2010,"S0","South","Pre",1004,"D","W","DW"
"40",2028,"Wet",9,9,"10-Jan","05-Nov","66","29-Oct","73","7.333333333","2","1","Sweetwater","S02",2010,"S0","South","Pre",1004,"D","W","DW"
"41",2030,"Wet",13,11,"Nov-8","Aug-22","78","Aug-15","85","7.666666667","1","1","Sweetwater","S02",2010,"S0","South","Pre",1005,"D","D","DD"
"42",2030,"Dry",13,11,"Oct-29","Aug-22","68","Aug-15","75","7.666666667","1","1","Sweetwater","S02",2010,"S0","South","Pre",1005,"D","D","DD"
"43",2031,"Wet",11,2,"18-Jan","04-Nov","75","29-Oct","81","6.333333333","2","1","Sweetwater","S02",2010,"S0","South","Pre",1005,"D","D","DD"
"44",2031,"Dry",11,2,NA,"04-Nov","#VALUE!","29-Oct","#VALUE!","6.333333333","2","1","Sweetwater","S02",2010,"S0","South","Pre",1005,"D","D","DD"
"45",2033,"Wet",14,7,"Oct-31","Aug-23","69","Aug-15","77","8","1","1","Sweetwater","S02",2010,"S0","South","Pre",1005,"D","W","DW"
"46",2033,"Dry",14,7,"Oct-27","Aug-23","65","Aug-15","73","8","1","1","Sweetwater","S02",2010,"S0","South","Pre",1005,"D","W","DW"
"47",2034,"Wet",10,2,"14-Jan","04-Nov","71","29-Oct","77","6.666666667","2","1","Sweetwater","S02",2010,"S0","South","Pre",1005,"D","W","DW"
"48",2034,"Dry",10,2,"13-Jan","04-Nov","70","29-Oct","76","6.666666667","2","1","Sweetwater","S02",2010,"S0","South","Pre",1005,"D","W","DW"
"49",2036,"Wet",7,17,"Oct-31","Aug-24","68","Aug-15","77","9.333333333","1","3","Sweetwater","S02",2010,"S0","South","Pre",1006,"W","D","WD"
"50",2036,"Dry",7,17,"Oct-29","Aug-24","66","Aug-15","75","9.333333333","1","3","Sweetwater","S02",2010,"S0","South","Pre",1006,"W","D","WD"
"51",2037,"Dry",14,3,"10-Jan","07-Nov","64","29-Oct","73","9.333333333","2","3","Sweetwater","S02",2010,"S0","South","Pre",1006,"W","D","WD"
"52",2037,"Wet",14,3,"17-Jan","07-Nov","71","29-Oct","80","9.333333333","2","3","Sweetwater","S02",2010,"S0","South","Pre",1006,"W","D","WD"
"53",2039,"Dry",16,8,"Oct-28","Aug-22","67","Aug-15","74","7","1","3","Sweetwater","S02",2010,"S0","South","Pre",1006,"W","W","WW"
"54",2039,"Wet",16,8,"Nov-3","Aug-22","73","Aug-15","80","7","1","3","Sweetwater","S02",2010,"S0","South","Pre",1006,"W","W","WW"
"55",2040,"Wet",12,17,"23-Jan","04-Nov","80","29-Oct","86","6","2","3","Sweetwater","S02",2010,"S0","South","Pre",1006,"W","W","WW"
"56",2040,"Dry",12,17,"14-Jan","04-Nov","71","29-Oct","77","6","2","3","Sweetwater","S02",2010,"S0","South","Pre",1006,"W","W","WW"
"57",2042,"Dry",6,16,"Oct-29","Aug-23","67","Aug-15","75","8","1","3","Sweetwater","S02",2010,"S0","South","Pre",1007,"W","D","WD"
"58",2042,"Wet",6,16,"Oct-29","Aug-23","67","Aug-15","75","8","1","3","Sweetwater","S02",2010,"S0","South","Pre",1007,"W","D","WD"
"59",2043,"Wet",19,11,"15-Jan","05-Nov","71","29-Oct","78","7","2","3","Sweetwater","S02",2010,"S0","South","Pre",1007,"W","D","WD"
"60",2043,"Dry",19,11,"10-Jan","05-Nov","66","29-Oct","73","7","2","3","Sweetwater","S02",2010,"S0","South","Pre",1007,"W","D","WD"
"61",2045,"Wet",20,11,"Nov-2","Aug-23","71","Aug-15","79","8","1","3","Sweetwater","S02",2010,"S0","South","Pre",1007,"W","W","WW"
"62",2045,"Dry",20,11,"Oct-26","Aug-23","64","Aug-15","72","8","1","3","Sweetwater","S02",2010,"S0","South","Pre",1007,"W","W","WW"
"63",2046,"Wet",9,2,"18-Jan","03-Nov","76","29-Oct","81","5.666666667","2","3","Sweetwater","S02",2010,"S0","South","Pre",1007,"W","W","WW"
"64",2046,"Dry",9,2,"29-Jan","03-Nov","87","29-Oct","92","5.666666667","2","3","Sweetwater","S02",2010,"S0","South","Pre",1007,"W","W","WW"
"65",2048,"Wet",24,4,"Nov-2","Aug-24","70","Aug-15","79","9.333333333","1","3","Sweetwater","S02",2010,"S0","South","Pre",1008,"W","D","WD"
"66",2048,"Dry",24,4,"Oct-26","Aug-24","63","Aug-15","72","9.333333333","1","3","Sweetwater","S02",2010,"S0","South","Pre",1008,"W","D","WD"
"67",2049,"Wet",3,3,"16-Jan","08-Nov","69","29-Oct","79","10.33333333","2","3","Sweetwater","S02",2010,"S0","South","Pre",1008,"W","D","WD"
"68",2049,"Dry",3,3,"13-Jan","08-Nov","66","29-Oct","76","10.33333333","2","3","Sweetwater","S02",2010,"S0","South","Pre",1008,"W","D","WD"
"69",2051,"Dry",7,5,"Oct-30","Aug-22","69","Aug-15","76","7.333333333","1","3","Sweetwater","S02",2010,"S0","South","Pre",1008,"W","W","WW"
"70",2051,"Wet",7,5,"Oct-31","Aug-22","70","Aug-15","77","7.333333333","1","3","Sweetwater","S02",2010,"S0","South","Pre",1008,"W","W","WW"
"71",2052,"Wet",15,8,"22-Jan","04-Nov","79","29-Oct","85","6.666666667","2","3","Sweetwater","S02",2010,"S0","South","Pre",1008,"W","W","WW"
"72",2052,"Dry",15,8,"07-Jan","04-Nov","64","29-Oct","70","6.666666667","2","3","Sweetwater","S02",2010,"S0","South","Pre",1008,"W","W","WW"
"73",2054,"Dry",8,1,"Oct-28","Aug-23","66","Aug-15","74","8","1","3","Sweetwater","S02",2010,"S0","South","Pre",1009,"D","D","DD"
"74",2054,"Wet",8,1,"Nov-5","Aug-23","74","Aug-15","82","8","1","3","Sweetwater","S02",2010,"S0","South","Pre",1009,"D","D","DD"
"75",2055,"Wet",10,7,"24-Jan","06-Nov","79","29-Oct","87","8.666666667","2","3","Sweetwater","S02",2010,"S0","South","Pre",1009,"D","D","DD"
"76",2055,"Dry",10,7,"21-Jan","06-Nov","76","29-Oct","84","8.666666667","2","3","Sweetwater","S02",2010,"S0","South","Pre",1009,"D","D","DD"
"77",2057,"Wet",19,1,"Nov-3","Aug-23","72","Aug-15","80","8","1","3","Sweetwater","S02",2010,"S0","South","Pre",1009,"D","W","DW"
"78",2057,"Dry",19,1,"Oct-30","Aug-23","68","Aug-15","76","8","1","3","Sweetwater","S02",2010,"S0","South","Pre",1009,"D","W","DW"
"79",2058,"Wet",12,12,"27-Jan","05-Nov","83","29-Oct","90","7","2","3","Sweetwater","S02",2010,"S0","South","Pre",1009,"D","W","DW"
"80",2058,"Dry",12,12,"19-Jan","05-Nov","75","29-Oct","82","7","2","3","Sweetwater","S02",2010,"S0","South","Pre",1009,"D","W","DW"
"81",2060,"Wet",7,3,"Nov-13","Aug-26","79","Aug-15","90","11.33333333","1","3","Sweetwater","S02",2010,"S0","South","Pre",1010,"D","D","DD"
"82",2060,"Dry",7,3,"Oct-30","Aug-26","65","Aug-15","76","11.33333333","1","3","Sweetwater","S02",2010,"S0","South","Pre",1010,"D","D","DD"
"83",2061,"Wet",1,17,NA,"12-Nov","#VALUE!","29-Oct","#VALUE!","14.33333333","2","3","Sweetwater","S02",2010,"S0","South","Pre",1010,"D","D","DD"
"84",2061,"Dry",1,17,NA,"12-Nov","#VALUE!","29-Oct","#VALUE!","14.33333333","2","3","Sweetwater","S02",2010,"S0","South","Pre",1010,"D","D","DD"
"85",2063,"Dry",25,2,"Oct-30","Aug-23","68","Aug-15","76","8.333333333","1","3","Sweetwater","S02",2010,"S0","South","Pre",1010,"D","W","DW"
"86",2063,"Wet",25,2,"Nov-14","Aug-23","83","Aug-15","91","8.333333333","1","3","Sweetwater","S02",2010,"S0","South","Pre",1010,"D","W","DW"
"87",2064,"Dry",26,8,"17-Jan","05-Nov","73","29-Oct","80","7","2","3","Sweetwater","S02",2010,"S0","South","Pre",1010,"D","W","DW"
"88",2064,"Wet",26,8,"18-Jan","05-Nov","74","29-Oct","81","7","2","3","Sweetwater","S02",2010,"S0","South","Pre",1010,"D","W","DW"
"89",2066,"Dry",5,18,"Oct-30","Aug-26","65","Aug-15","76","11.33333333","1","3","Sweetwater","S02",2010,"S0","South","Pre",1011,"D","D","DD"
