"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"Region",27.8177917076174,27.8177917076174,1,1.9966279259295,4.08156484477115,0.180985543095132
"Treatment_history",92.2477403849362,30.7492467949787,3,854.172716554509,4.51168252464878,0.00378124393198086
"Treatment",3.97271782542559e-25,3.97271782542559e-25,1,853.007287204235,5.82896931031827e-26,0.999999999999807
"Region:Treatment_history",21.0559433013171,7.0186477671057,3,854.172340047293,1.02981093126115,0.378605286491259
"Region:Treatment",4.17362361485917e-26,4.17362361485917e-26,1,853.007287112373,6.12374828338771e-27,0.999999999999938
"Treatment_history:Treatment",1.47291684286162e-24,4.90972280953872e-25,3,853.007287060808,7.20378965649414e-26,1
"Region:Treatment_history:Treatment",4.40655798609353e-25,1.46885266203118e-25,3,853.007287001416,2.15517372856497e-26,1
