Treatment,ID,ww,sa,dw,wc,sla
Wet,2064,0.12,6.03,0.026,0.094,231.9230769
Wet,2694,,,,0,#DIV/0!
Wet,2184,,,,0,#DIV/0!
Wet,2709,0.31,11.301,0.07,0.24,161.4428571
Wet,2169,0.04,1.133,0.01,0.03,113.3
Wet,2097,0.18,5.763,0.029,0.151,198.7241379
Wet,3018,0.23,5.1,0.043,0.187,118.6046512
Wet,2640,0.08,3.328,0.075,0.005,44.37333333
Wet,2286,0.24,9.317,0.059,0.181,157.9152542
Wet,2103,0.11,3.912,0.006,0.104,652
Wet,3246,0.18,6.993,0.046,0.134,152.0217391
Wet,3300,0.086,4.207,0.017,0.069,247.4705882
Wet,3330,0.12,5.668,0.029,0.091,195.4482759
Wet,3249,0.12,5.239,0.013,0.107,403
Wet,2349,0.11,3.922,0.014,0.096,280.1428571
Wet,2535,0.28,9.207,0.062,0.218,148.5
Wet,3162,0.1,4.004,0.023,0.077,174.0869565
Wet,2001,0.2,7.98,0.046,0.154,173.4782609
Wet,3111,0.085,3.916,0.017,0.068,230.3529412
Wet,2106,0.15,6.373,0.041,0.109,155.4390244
Wet,2553,0.25,9.981,0.062,0.188,160.983871
Wet,3336,0.11,4.373,0.018,0.092,242.9444444
Wet,2712,,,,0,#DIV/0!
